@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
agricola_p01.pddl,1,blind,1800,timeout
agricola_p01.pddl,1,Complementary1,117.84,ok
agricola_p01.pddl,1,Complementary2,60.59,ok
agricola_p01.pddl,1,DecStar,1800,timeout
agricola_p01.pddl,1,Delfi1,19.62,ok
agricola_p01.pddl,1,Delfi2,474.73,ok
agricola_p01.pddl,1,FDMS1,106.16,ok
agricola_p01.pddl,1,FDMS2,119.89,ok
agricola_p01.pddl,1,Metis1,1800,timeout
agricola_p01.pddl,1,Metis2,1800,timeout
agricola_p01.pddl,1,Planning-PDBs,54.08,ok
agricola_p01.pddl,1,Scorpion,1800,timeout
agricola_p01.pddl,1,symbolic-bidirectional,19.71,ok
agricola_p01.pddl,1,Symple-1,1800,timeout
agricola_p01.pddl,1,Symple-2,1800,timeout
agricola_p02.pddl,1,blind,1800,timeout
agricola_p02.pddl,1,Complementary1,155.43,ok
agricola_p02.pddl,1,Complementary2,246.22,ok
agricola_p02.pddl,1,DecStar,1800,timeout
agricola_p02.pddl,1,Delfi1,34.1,ok
agricola_p02.pddl,1,Delfi2,65.34,ok
agricola_p02.pddl,1,FDMS1,97.9,ok
agricola_p02.pddl,1,FDMS2,332.8,ok
agricola_p02.pddl,1,Metis1,1800,timeout
agricola_p02.pddl,1,Metis2,1800,timeout
agricola_p02.pddl,1,Planning-PDBs,232.31,ok
agricola_p02.pddl,1,Scorpion,1800,timeout
agricola_p02.pddl,1,symbolic-bidirectional,82.09,ok
agricola_p02.pddl,1,Symple-1,1800,timeout
agricola_p02.pddl,1,Symple-2,1800,timeout
agricola_p03.pddl,1,blind,1800,timeout
agricola_p03.pddl,1,Complementary1,1800,timeout
agricola_p03.pddl,1,Complementary2,1800,timeout
agricola_p03.pddl,1,DecStar,1800,timeout
agricola_p03.pddl,1,Delfi1,78.97,ok
agricola_p03.pddl,1,Delfi2,135.39,ok
agricola_p03.pddl,1,FDMS1,141.71,ok
agricola_p03.pddl,1,FDMS2,437.65,ok
agricola_p03.pddl,1,Metis1,1800,timeout
agricola_p03.pddl,1,Metis2,1800,timeout
agricola_p03.pddl,1,Planning-PDBs,1800,timeout
agricola_p03.pddl,1,Scorpion,1520.84,ok
agricola_p03.pddl,1,symbolic-bidirectional,92.95,ok
agricola_p03.pddl,1,Symple-1,1800,timeout
agricola_p03.pddl,1,Symple-2,1800,timeout
agricola_p04.pddl,1,blind,1800,timeout
agricola_p04.pddl,1,Complementary1,226.06,ok
agricola_p04.pddl,1,Complementary2,149.08,ok
agricola_p04.pddl,1,DecStar,1800,timeout
agricola_p04.pddl,1,Delfi1,30.05,ok
agricola_p04.pddl,1,Delfi2,52.34,ok
agricola_p04.pddl,1,FDMS1,368.01,ok
agricola_p04.pddl,1,FDMS2,172.69,ok
agricola_p04.pddl,1,Metis1,1800,timeout
agricola_p04.pddl,1,Metis2,1800,timeout
agricola_p04.pddl,1,Planning-PDBs,135.96,ok
agricola_p04.pddl,1,Scorpion,1800,timeout
agricola_p04.pddl,1,symbolic-bidirectional,49.1,ok
agricola_p04.pddl,1,Symple-1,1800,timeout
agricola_p04.pddl,1,Symple-2,1800,timeout
agricola_p05.pddl,1,blind,1800,timeout
agricola_p05.pddl,1,Complementary1,1800,timeout
agricola_p05.pddl,1,Complementary2,1800,timeout
agricola_p05.pddl,1,DecStar,1800,timeout
agricola_p05.pddl,1,Delfi1,90.83,ok
agricola_p05.pddl,1,Delfi2,135.44,ok
agricola_p05.pddl,1,FDMS1,217.81,ok
agricola_p05.pddl,1,FDMS2,445.2,ok
agricola_p05.pddl,1,Metis1,1800,timeout
agricola_p05.pddl,1,Metis2,1800,timeout
agricola_p05.pddl,1,Planning-PDBs,1800,timeout
agricola_p05.pddl,1,Scorpion,1800,timeout
agricola_p05.pddl,1,symbolic-bidirectional,48.43,ok
agricola_p05.pddl,1,Symple-1,1800,timeout
agricola_p05.pddl,1,Symple-2,1800,timeout
agricola_p06.pddl,1,blind,1800,timeout
agricola_p06.pddl,1,Complementary1,1800,timeout
agricola_p06.pddl,1,Complementary2,1800,timeout
agricola_p06.pddl,1,DecStar,1800,timeout
agricola_p06.pddl,1,Delfi1,103.34,ok
agricola_p06.pddl,1,Delfi2,170.44,ok
agricola_p06.pddl,1,FDMS1,424.7,ok
agricola_p06.pddl,1,FDMS2,760.7,ok
agricola_p06.pddl,1,Metis1,1800,timeout
agricola_p06.pddl,1,Metis2,1800,timeout
agricola_p06.pddl,1,Planning-PDBs,1800,timeout
agricola_p06.pddl,1,Scorpion,1800,timeout
agricola_p06.pddl,1,symbolic-bidirectional,294.96,ok
agricola_p06.pddl,1,Symple-1,1800,timeout
agricola_p06.pddl,1,Symple-2,1800,timeout
agricola_p07.pddl,1,blind,1800,timeout
agricola_p07.pddl,1,Complementary1,276.57,ok
