Instance,claspfolio
petri-net-alignment_p09.pddl,27.9200
caldera_p14.pddl,18000.0000
spider_p15.pddl,17.0500
petri-net-alignment_p10.pddl,272.4300
spider_p01.pddl,12.5100
petri-net-alignment_p12.pddl,81.0700
nurikabe_p09.pddl,18.5600
organic-synthesis-split_p10.pddl,126.0700
caldera_p20.pddl,18000.0000
data-network_p03.pddl,25.7300
agricola_p14.pddl,871.4100
organic-synthesis_p03.pddl,66.5500
caldera-split_p04.pddl,5.8300
settlers_p14.pddl,18000.0000
nurikabe_p15.pddl,443.9300
data-network_p05.pddl,3.5100
caldera-split_p09.pddl,360.3700
petri-net-alignment_p08.pddl,140.9900
termes_p08.pddl,306.3400
snake_p17.pddl,851.4600
agricola_p03.pddl,146.2800
organic-synthesis_p15.pddl,18000.0000
organic-synthesis_p08.pddl,18000.0000
snake_p05.pddl,52.8200
snake_p10.pddl,23.8300
nurikabe_p01.pddl,1.3800
termes_p01.pddl,4.2000
settlers_p02.pddl,53.9400
agricola_p09.pddl,382.8100
settlers_p11.pddl,39.3100
settlers_p07.pddl,18000.0000
petri-net-alignment_p14.pddl,66.9700
petri-net-alignment_p02.pddl,7.2200
organic-synthesis-split_p04.pddl,59.5800
termes_p05.pddl,32.4400
settlers_p08.pddl,18000.0000
data-network_p04.pddl,40.2200
agricola_p13.pddl,748.8200
data-network_p15.pddl,32.2600
caldera-split_p19.pddl,18000.0000
termes_p13.pddl,13.1300
caldera-split_p10.pddl,52.8300
caldera-split_p06.pddl,16.7000
organic-synthesis_p14.pddl,28.4700
data-network_p17.pddl,78.2800
termes_p02.pddl,6.2100
snake_p03.pddl,70.0800
caldera_p08.pddl,12.1900
caldera_p12.pddl,18.7100
spider_p06.pddl,18000.0000
caldera-split_p02.pddl,5.7400
settlers_p19.pddl,18000.0000
nurikabe_p16.pddl,540.4200
nurikabe_p17.pddl,644.6500
nurikabe_p13.pddl,564.6800
petri-net-alignment_p15.pddl,83.9800
organic-synthesis-split_p02.pddl,40.5500
petri-net-alignment_p11.pddl,63.7900
caldera_p03.pddl,3.0800
petri-net-alignment_p19.pddl,62.1300
settlers_p13.pddl,249.9300
nurikabe_p19.pddl,611.7500
caldera-split_p13.pddl,18000.0000
termes_p03.pddl,6.9400
caldera-split_p20.pddl,18000.0000
caldera_p17.pddl,731.8700
nurikabe_p03.pddl,6.6200
organic-synthesis-split_p16.pddl,18000.0000
agricola_p06.pddl,197.4900
organic-synthesis-split_p20.pddl,18000.0000
agricola_p10.pddl,209.5300
data-network_p08.pddl,18000.0000
petri-net-alignment_p16.pddl,75.2500
organic-synthesis_p13.pddl,18000.0000
termes_p11.pddl,6.8100
snake_p14.pddl,18000.0000
settlers_p16.pddl,18000.0000
settlers_p20.pddl,329.8100
caldera-split_p18.pddl,18000.0000
data-network_p14.pddl,18000.0000
snake_p08.pddl,18000.0000
termes_p14.pddl,24.0900
termes_p18.pddl,9.9300
agricola_p02.pddl,74.5300
termes_p09.pddl,316.0700
spider_p14.pddl,9.7300
snake_p02.pddl,28.3700
caldera_p15.pddl,18000.0000
organic-synthesis_p02.pddl,17.9800
agricola_p04.pddl,62.4500
organic-synthesis-split_p14.pddl,147.6800
caldera_p13.pddl,18000.0000
nurikabe_p10.pddl,20.4000
caldera_p07.pddl,16.1700
spider_p08.pddl,21.0700
settlers_p04.pddl,149.0400
organic-synthesis-split_p05.pddl,229.2700
petri-net-alignment_p03.pddl,18.6100
petri-net-alignment_p01.pddl,7.6700
caldera_p19.pddl,18000.0000
spider_p13.pddl,18000.0000
organic-synthesis-split_p03.pddl,138.8400
caldera-split_p17.pddl,216.7200
caldera_p06.pddl,23.4200
data-network_p16.pddl,18000.0000
data-network_p12.pddl,30.1900
organic-synthesis_p05.pddl,18000.0000
snake_p18.pddl,699.7500
organic-synthesis_p12.pddl,18000.0000
organic-synthesis-split_p15.pddl,18000.0000
termes_p17.pddl,139.1300
caldera_p18.pddl,18000.0000
organic-synthesis_p18.pddl,18000.0000
organic-synthesis-split_p08.pddl,18000.0000
organic-synthesis-split_p18.pddl,18000.0000
nurikabe_p04.pddl,5.5400
agricola_p11.pddl,418.4200
snake_p15.pddl,84.9200
nurikabe_p05.pddl,4.2500
snake_p19.pddl,649.1500
settlers_p18.pddl,18000.0000
petri-net-alignment_p07.pddl,33.8700
nurikabe_p14.pddl,18000.0000
organic-synthesis-split_p17.pddl,18000.0000
snake_p16.pddl,656.1900
data-network_p02.pddl,27.1500
agricola_p01.pddl,45.3000
data-network_p20.pddl,18000.0000
petri-net-alignment_p13.pddl,149.6000
organic-synthesis-split_p06.pddl,324.2400
data-network_p19.pddl,324.2100
caldera-split_p15.pddl,18000.0000
organic-synthesis_p07.pddl,12.1800
termes_p06.pddl,153.2600
spider_p04.pddl,1229.3700
spider_p20.pddl,18000.0000
organic-synthesis-split_p13.pddl,18000.0000
caldera-split_p14.pddl,723.8600
data-network_p18.pddl,18000.0000
caldera_p01.pddl,1.7700
spider_p11.pddl,18000.0000
organic-synthesis_p16.pddl,18000.0000
petri-net-alignment_p18.pddl,98.0600
agricola_p12.pddl,492.0600
agricola_p07.pddl,115.5500
organic-synthesis-split_p19.pddl,538.8400
nurikabe_p07.pddl,8.4900
organic-synthesis-split_p01.pddl,113.6600
spider_p18.pddl,18000.0000
termes_p16.pddl,126.9000
organic-synthesis-split_p11.pddl,348.3600
spider_p07.pddl,10.0400
settlers_p17.pddl,440.0600
nurikabe_p20.pddl,578.0000
settlers_p09.pddl,18000.0000
caldera-split_p08.pddl,9.7900
organic-synthesis-split_p09.pddl,124.1600
caldera_p04.pddl,2.9500
spider_p16.pddl,320.7500
spider_p02.pddl,22.4400
termes_p19.pddl,18.3300
petri-net-alignment_p05.pddl,41.0000
termes_p15.pddl,113.4500
caldera-split_p16.pddl,18000.0000
organic-synthesis_p10.pddl,56.6000
spider_p19.pddl,18000.0000
caldera-split_p01.pddl,6.9600
caldera_p02.pddl,2.9000
nurikabe_p02.pddl,1.3500
agricola_p18.pddl,1501.0900
data-network_p01.pddl,21.4800
termes_p07.pddl,305.8300
nurikabe_p11.pddl,174.2100
snake_p12.pddl,18000.0000
snake_p06.pddl,58.1700
settlers_p06.pddl,169.8200
termes_p12.pddl,6.7800
caldera_p09.pddl,49.1300
nurikabe_p18.pddl,525.4300
snake_p07.pddl,853.3100
agricola_p16.pddl,760.5000
