@relation R_data_frame
@attribute instance_id string
@attribute repetition numeric
@attribute fold numeric
@data

causal_n7_i7_N1000_uai14_harddeps_int.wcnf,1,2
g3_n26e25_n27e26_n42e48.wcnf,1,8
g7_n13e12_n13e12_n13e12_n13e12_n14e13_n15e14_n24e31.wcnf,1,10
b21_C-mbd14-0205.wcnf,1,2
normalized-f20c10b_005_area_delay.wcnf,1,4
TWComp_eil51tsp_N51.wcnf,1,5
threshold128_3.wcnf,1,2
rev66-20.wcnf,1,10
adult_train_5_CNF_2_1.wcnf,1,4
d4.wcnf,1,10
rand179_l2.wcnf,1,8
rsdecoder_fsm1dimacsfiltered.wcnf,1,2
threshold128_2.wcnf,1,5
extension-enforcement_non-strict_stb_200_01_4_10_4.wcnf,1,2
frb40-19-4partial.wcnf,1,5
house-votes-84.wcnf,1,1
gen_add_4_33.wcnf,1,8
TWComp_huck_N74.wcnf,1,7
TWComp_miles500_N128.wcnf,1,3
gen_cvc-add3-carry2-gadget_9999.wcnf,1,10
MinFill_R10_anna.wcnf,1,7
divider-problemdimacs_2filtered.wcnf,1,6
extension-enforcement_non-strict_stb_200_005_4_10_4.wcnf,1,6
normalized-5xp1bopbmsat.wcnf,1,4
sudoku-debugdimacs.wcnf,1,6
rev66-24.wcnf,1,9
TWComp_jean_N77.wcnf,1,7
kbtree9_7_3_5_90_5wcsp.wcnf,1,1
cnf8p7.wcnf,1,10
uaq-plb-nr250-nc83-n5-k2-rpp3-ppr5-plb90.wcnf,1,5
wqueens18_16wcspdir.wcnf,1,1
sbox_8.wcnf,1,9
SAT_RACE08__cnf__ibm-2004-01-k90cnfwcnf10.wcnf,1,10
3col140_5_2shuffledcnf.wcnf,1,2
SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-12-step16cnfwcnf8.wcnf,1,3
vga-debugdimacs.wcnf,1,9
extension-enforcement_non-strict_stb_200_005_3_10_0.wcnf,1,4
b17_C-mbd14-0370.wcnf,1,4
AES1-40-6.wcnf,1,10
frb35-17-3partial.wcnf,1,5
s38584_nan_explicit_27_0.wcnf,1,5
3col140_5_9shuffledcnf.wcnf,1,7
tae.wcnf,1,10
b20_C-mbd14-0255.wcnf,1,6
extension-enforcement_non-strict_stb_200_005_0_10_3.wcnf,1,4
ram_k3_n10ra0.wcnf,1,4
gen_square_5_299.wcnf,1,2
heatShock_WT_121_12lpsm-extracted.wcnf,1,6
geffe128_4.wcnf,1,6
