@relation R_data_frame

@attribute instance_id string
@attribute repetition string
@attribute ALL {ok,timeout,memout,not_applicable,crash,other}

@data
wdbc_train_0_CNF_3_1.wcnf,1,ok
threshold128_5.wcnf,1,ok
maxcut-140-630-08-34.wcnf,1,ok
iris.wcnf,1,ok
pesp_5min.wcnf,1,ok
wolfram80_9.wcnf,1,ok
cnf20d10.wcnf,1,ok
10tree125p.wcnf,1,ok
normalized-ssa7552-160opbmsat.wcnf,1,ok
g2_n61e85_n120e154.wcnf,1,ok
credit_train_0_CNF_4_1.wcnf,1,ok
s38584_nan_explicit_19_0.wcnf,1,ok
g5_n39e38_n43e43_n61e61_n67e68_n82e119.wcnf,1,ok
uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr9-plb100.wcnf,1,ok
heatShock_WT_30_12lpsm-extracted.wcnf,1,ok
uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr11-plb100.wcnf,1,ok
rev66-6.wcnf,1,ok
AES1-40-6.wcnf,1,ok
scpcyc11_maxsat.wcnf,1,ok
MinFill_R0_miles1500.wcnf,1,ok
g3_n39e42_n61e85_n72e77.wcnf,1,ok
3col140_5_7shuffledcnf.wcnf,1,ok
frb35-17-2partial.wcnf,1,ok
gen_mult_3_5_9999.wcnf,1,ok
keller5clq.wcnf,1,ok
15tree501p.wcnf,1,ok
ac97_ctrl-debugdimacs.wcnf,1,ok
3col140_5_9shuffledcnf.wcnf,1,ok
gen_mult_3_5_399.wcnf,1,ok
AES2-72-67.wcnf,1,ok
mul_8_14.wcnf,1,ok
TWComp_hepar2_N70.wcnf,1,ok
wb_conmax3dimacsfiltered.wcnf,1,ok
rev66-18.wcnf,1,ok
rsdecoder_fsm1dimacsfiltered.wcnf,1,ok
b18-s_PathRelaxation_Set_FS_32.wcnf,1,ok
SAT11__application__fuhs__AProVE11__AProVE11-10cnfwcnf3.wcnf,1,ok
wqueens18_16wcspdir.wcnf,1,ok
threshold128_6.wcnf,1,ok
UAutomizer_CookSeeZuleger-2013TACAS-Fig7b-alloca_true-terminationci_Abstraction3.wcnf,1,ok
s38584_nan_explicit_26_0.wcnf,1,ok
rev66-12.wcnf,1,ok
1knt_2knt_gwcnft.wcnf,1,ok
g4_n69e80_n69e80_n69e80_n79e87.wcnf,1,ok
causal_n5_i8_N10000_uai13_harddeps_int.wcnf,1,ok
gen_square_5_299.wcnf,1,ok
g3_n66e77_n66e72_n94e112.wcnf,1,ok
wolfram72_8.wcnf,1,ok
cnf17p10.wcnf,1,ok
g4_n47e57_n58e61_n133e169_n141e184.wcnf,1,ok
splitedReads_18matrix.wcnf,1,ok
titanic_train_9_CNF_2_1.wcnf,1,ok
b21_C-mbd14-0295.wcnf,1,ok
GenHyperTW_dubois21.wcnf,1,ok
brock400_4clq.wcnf,1,ok
15tree701p.wcnf,1,ok
cnf16p6.wcnf,1,ok
heatShock_WT_161_12lpsm-extracted.wcnf,1,ok
GenHyperTW_grid4d_3.wcnf,1,ok
wqueens14_12wcspdir.wcnf,1,ok
cnf_10.wcnf,1,ok
normalized-f20c10b_024_area_delay.wcnf,1,ok
p_hat300-1clq.wcnf,1,ok
dp06s06shuffledcnf.wcnf,1,ok
gen_cvc-add7to3_9999.wcnf,1,ok
kbtree9_7_3_5_50_1wcsp.wcnf,1,ok
10tree430p.wcnf,1,ok
TWComp_huck_N74.wcnf,1,ok
uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr5-plb100.wcnf,1,ok
splitedReads_158matrix.wcnf,1,ok
atcoss_mesat_04.wcnf,1,ok
adult_train_5_CNF_2_1.wcnf,1,ok
normalized-5xp1bopbmsat.wcnf,1,ok
