@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
10tree1020p.wcnf,1,MaxHS,30.38,ok
10tree1020p.wcnf,1,maxino2018,13.3,ok
10tree1020p.wcnf,1,Open-WBO-g,3600,timeout
10tree1020p.wcnf,1,Open-WBO-ms,36.4,ok
10tree1020p.wcnf,1,Open-WBO-ms-pre,24.24,ok
10tree1020p.wcnf,1,QMaxSAT2018,36.86,ok
10tree1020p.wcnf,1,UWrMaxSat-1.0,31.38,ok
10tree115p.wcnf,1,MaxHS,6.69,ok
10tree115p.wcnf,1,maxino2018,3.99,ok
10tree115p.wcnf,1,Open-WBO-g,3.7,ok
10tree115p.wcnf,1,Open-WBO-ms,13.64,ok
10tree115p.wcnf,1,Open-WBO-ms-pre,11.77,ok
10tree115p.wcnf,1,QMaxSAT2018,11.1,ok
10tree115p.wcnf,1,UWrMaxSat-1.0,3.53,ok
10tree125p.wcnf,1,MaxHS,51.05,ok
10tree125p.wcnf,1,maxino2018,19.47,ok
10tree125p.wcnf,1,Open-WBO-g,33.98,ok
10tree125p.wcnf,1,Open-WBO-ms,58.46,ok
10tree125p.wcnf,1,Open-WBO-ms-pre,23.24,ok
10tree125p.wcnf,1,QMaxSAT2018,48.57,ok
10tree125p.wcnf,1,UWrMaxSat-1.0,121.05,ok
10tree315p.wcnf,1,MaxHS,15.65,ok
10tree315p.wcnf,1,maxino2018,4.95,ok
10tree315p.wcnf,1,Open-WBO-g,6.94,ok
10tree315p.wcnf,1,Open-WBO-ms,14.88,ok
10tree315p.wcnf,1,Open-WBO-ms-pre,11.43,ok
10tree315p.wcnf,1,QMaxSAT2018,11.31,ok
10tree315p.wcnf,1,UWrMaxSat-1.0,8.1,ok
10tree320p.wcnf,1,MaxHS,10.63,ok
10tree320p.wcnf,1,maxino2018,3.84,ok
10tree320p.wcnf,1,Open-WBO-g,6.72,ok
10tree320p.wcnf,1,Open-WBO-ms,17.92,ok
10tree320p.wcnf,1,Open-WBO-ms-pre,7.7,ok
10tree320p.wcnf,1,QMaxSAT2018,10.68,ok
10tree320p.wcnf,1,UWrMaxSat-1.0,1.96,ok
10tree425p.wcnf,1,MaxHS,44.47,ok
10tree425p.wcnf,1,maxino2018,21.98,ok
10tree425p.wcnf,1,Open-WBO-g,20.79,ok
10tree425p.wcnf,1,Open-WBO-ms,41.85,ok
10tree425p.wcnf,1,Open-WBO-ms-pre,27.87,ok
10tree425p.wcnf,1,QMaxSAT2018,40.92,ok
10tree425p.wcnf,1,UWrMaxSat-1.0,57.04,ok
10tree430p.wcnf,1,MaxHS,24.78,ok
10tree430p.wcnf,1,maxino2018,6.75,ok
10tree430p.wcnf,1,Open-WBO-g,35.86,ok
10tree430p.wcnf,1,Open-WBO-ms,80.24,ok
10tree430p.wcnf,1,Open-WBO-ms-pre,15.16,ok
10tree430p.wcnf,1,QMaxSAT2018,29.64,ok
10tree430p.wcnf,1,UWrMaxSat-1.0,4.24,ok
10tree730p.wcnf,1,MaxHS,107.93,ok
10tree730p.wcnf,1,maxino2018,66.86,ok
10tree730p.wcnf,1,Open-WBO-g,78.85,ok
10tree730p.wcnf,1,Open-WBO-ms,136.92,ok
10tree730p.wcnf,1,Open-WBO-ms-pre,64.5,ok
10tree730p.wcnf,1,QMaxSAT2018,89.42,ok
10tree730p.wcnf,1,UWrMaxSat-1.0,397.32,ok
10tree825p.wcnf,1,MaxHS,10.44,ok
10tree825p.wcnf,1,maxino2018,3.64,ok
10tree825p.wcnf,1,Open-WBO-g,15.04,ok
10tree825p.wcnf,1,Open-WBO-ms,33.69,ok
10tree825p.wcnf,1,Open-WBO-ms-pre,17.46,ok
10tree825p.wcnf,1,QMaxSAT2018,15.83,ok
10tree825p.wcnf,1,UWrMaxSat-1.0,2.5,ok
15tree101p.wcnf,1,MaxHS,3.01,ok
15tree101p.wcnf,1,maxino2018,3.91,ok
15tree101p.wcnf,1,Open-WBO-g,2.65,ok
15tree101p.wcnf,1,Open-WBO-ms,14.51,ok
15tree101p.wcnf,1,Open-WBO-ms-pre,22.42,ok
15tree101p.wcnf,1,QMaxSAT2018,37.47,ok
15tree101p.wcnf,1,UWrMaxSat-1.0,5.2,ok
15tree201p.wcnf,1,MaxHS,2.75,ok
15tree201p.wcnf,1,maxino2018,3.43,ok
15tree201p.wcnf,1,Open-WBO-g,3.21,ok
15tree201p.wcnf,1,Open-WBO-ms,15.67,ok
15tree201p.wcnf,1,Open-WBO-ms-pre,22.7,ok
15tree201p.wcnf,1,QMaxSAT2018,85.15,ok
15tree201p.wcnf,1,UWrMaxSat-1.0,5.05,ok
15tree301posib.wcnf,1,MaxHS,10.14,ok
15tree301posib.wcnf,1,maxino2018,4.64,ok
15tree301posib.wcnf,1,Open-WBO-g,7.11,ok
15tree301posib.wcnf,1,Open-WBO-ms,38.49,ok
15tree301posib.wcnf,1,Open-WBO-ms-pre,49.67,ok
15tree301posib.wcnf,1,QMaxSAT2018,18.72,ok
15tree301posib.wcnf,1,UWrMaxSat-1.0,8.59,ok
15tree401posib.wcnf,1,MaxHS,9.11,ok
15tree401posib.wcnf,1,maxino2018,4.26,ok
15tree401posib.wcnf,1,Open-WBO-g,5.57,ok
15tree401posib.wcnf,1,Open-WBO-ms,37.39,ok
15tree401posib.wcnf,1,Open-WBO-ms-pre,38.35,ok
15tree401posib.wcnf,1,QMaxSAT2018,39.41,ok
15tree401posib.wcnf,1,UWrMaxSat-1.0,4.35,ok
15tree501p.wcnf,1,MaxHS,16.51,ok
15tree501p.wcnf,1,maxino2018,10.64,ok
15tree501p.wcnf,1,Open-WBO-g,14.28,ok
15tree501p.wcnf,1,Open-WBO-ms,51.46,ok
15tree501p.wcnf,1,Open-WBO-ms-pre,47.54,ok
15tree501p.wcnf,1,QMaxSAT2018,22.33,ok
15tree501p.wcnf,1,UWrMaxSat-1.0,26.08,ok
15tree701p.wcnf,1,MaxHS,25.22,ok
15tree701p.wcnf,1,maxino2018,9.89,ok
15tree701p.wcnf,1,Open-WBO-g,14.38,ok
15tree701p.wcnf,1,Open-WBO-ms,42.52,ok
15tree701p.wcnf,1,Open-WBO-ms-pre,48.13,ok
15tree701p.wcnf,1,QMaxSAT2018,272.2,ok
15tree701p.wcnf,1,UWrMaxSat-1.0,20.1,ok
1bpi_2knt_gwcnft.wcnf,1,MaxHS,3600,timeout
1bpi_2knt_gwcnft.wcnf,1,maxino2018,308.24,ok
1bpi_2knt_gwcnft.wcnf,1,Open-WBO-g,582.68,ok
1bpi_2knt_gwcnft.wcnf,1,Open-WBO-ms,131.39,ok
1bpi_2knt_gwcnft.wcnf,1,Open-WBO-ms-pre,361.97,ok
1bpi_2knt_gwcnft.wcnf,1,QMaxSAT2018,73.08,ok
1bpi_2knt_gwcnft.wcnf,1,UWrMaxSat-1.0,385.18,ok
1bpi_5pti_gwcnft.wcnf,1,MaxHS,3600,timeout
1bpi_5pti_gwcnft.wcnf,1,maxino2018,221.72,ok
1bpi_5pti_gwcnft.wcnf,1,Open-WBO-g,107.04,ok
1bpi_5pti_gwcnft.wcnf,1,Open-WBO-ms,67.14,ok
1bpi_5pti_gwcnft.wcnf,1,Open-WBO-ms-pre,289.91,ok
1bpi_5pti_gwcnft.wcnf,1,QMaxSAT2018,24.16,ok
1bpi_5pti_gwcnft.wcnf,1,UWrMaxSat-1.0,109.79,ok
1knt_1bpi_gwcnft.wcnf,1,MaxHS,3600,timeout
1knt_1bpi_gwcnft.wcnf,1,maxino2018,361.16,ok
1knt_1bpi_gwcnft.wcnf,1,Open-WBO-g,327.67,ok
1knt_1bpi_gwcnft.wcnf,1,Open-WBO-ms,192.73,ok
1knt_1bpi_gwcnft.wcnf,1,Open-WBO-ms-pre,337.31,ok
1knt_1bpi_gwcnft.wcnf,1,QMaxSAT2018,99.71,ok
1knt_1bpi_gwcnft.wcnf,1,UWrMaxSat-1.0,316.3,ok
1knt_2knt_gwcnft.wcnf,1,MaxHS,20.78,ok
1knt_2knt_gwcnft.wcnf,1,maxino2018,15.24,ok
1knt_2knt_gwcnft.wcnf,1,Open-WBO-g,3.42,ok
1knt_2knt_gwcnft.wcnf,1,Open-WBO-ms,9.98,ok
1knt_2knt_gwcnft.wcnf,1,Open-WBO-ms-pre,119.78,ok
1knt_2knt_gwcnft.wcnf,1,QMaxSAT2018,1.37,ok
1knt_2knt_gwcnft.wcnf,1,UWrMaxSat-1.0,11.49,ok
1knt_5pti_gwcnft.wcnf,1,MaxHS,3600,timeout
1knt_5pti_gwcnft.wcnf,1,maxino2018,257.08,ok
1knt_5pti_gwcnft.wcnf,1,Open-WBO-g,67.94,ok
1knt_5pti_gwcnft.wcnf,1,Open-WBO-ms,89.23,ok
1knt_5pti_gwcnft.wcnf,1,Open-WBO-ms-pre,257.44,ok
1knt_5pti_gwcnft.wcnf,1,QMaxSAT2018,52.29,ok
1knt_5pti_gwcnft.wcnf,1,UWrMaxSat-1.0,87.72,ok
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf,1,MaxHS,5.62,ok
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf,1,maxino2018,14.51,ok
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf,1,Open-WBO-g,10.36,ok
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf,1,Open-WBO-ms,26.88,ok
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf,1,Open-WBO-ms-pre,14.61,ok
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf,1,QMaxSAT2018,8.43,ok
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf,1,UWrMaxSat-1.0,6.01,ok
2knt_5pti_gwcnft.wcnf,1,MaxHS,3600,timeout
2knt_5pti_gwcnft.wcnf,1,maxino2018,337.7,ok
2knt_5pti_gwcnft.wcnf,1,Open-WBO-g,126.06,ok
2knt_5pti_gwcnft.wcnf,1,Open-WBO-ms,98.83,ok
2knt_5pti_gwcnft.wcnf,1,Open-WBO-ms-pre,251.94,ok
2knt_5pti_gwcnft.wcnf,1,QMaxSAT2018,59.74,ok
2knt_5pti_gwcnft.wcnf,1,UWrMaxSat-1.0,128.08,ok
3col140_5_10shuffledcnf.wcnf,1,MaxHS,24.28,ok
3col140_5_10shuffledcnf.wcnf,1,maxino2018,6.29,ok
3col140_5_10shuffledcnf.wcnf,1,Open-WBO-g,13.2,ok
3col140_5_10shuffledcnf.wcnf,1,Open-WBO-ms,26.23,ok
3col140_5_10shuffledcnf.wcnf,1,Open-WBO-ms-pre,39.06,ok
3col140_5_10shuffledcnf.wcnf,1,QMaxSAT2018,3.04,ok
3col140_5_10shuffledcnf.wcnf,1,UWrMaxSat-1.0,10.35,ok
3col140_5_1shuffledcnf.wcnf,1,MaxHS,38.04,ok
3col140_5_1shuffledcnf.wcnf,1,maxino2018,6.19,ok
3col140_5_1shuffledcnf.wcnf,1,Open-WBO-g,12.76,ok
3col140_5_1shuffledcnf.wcnf,1,Open-WBO-ms,27.14,ok
3col140_5_1shuffledcnf.wcnf,1,Open-WBO-ms-pre,39.4,ok
3col140_5_1shuffledcnf.wcnf,1,QMaxSAT2018,3.68,ok
3col140_5_1shuffledcnf.wcnf,1,UWrMaxSat-1.0,12.98,ok
3col140_5_2shuffledcnf.wcnf,1,MaxHS,55.46,ok
3col140_5_2shuffledcnf.wcnf,1,maxino2018,3.55,ok
3col140_5_2shuffledcnf.wcnf,1,Open-WBO-g,13.37,ok
3col140_5_2shuffledcnf.wcnf,1,Open-WBO-ms,30.57,ok
3col140_5_2shuffledcnf.wcnf,1,Open-WBO-ms-pre,33.44,ok
3col140_5_2shuffledcnf.wcnf,1,QMaxSAT2018,2.64,ok
3col140_5_2shuffledcnf.wcnf,1,UWrMaxSat-1.0,11.23,ok
3col140_5_3shuffledcnf.wcnf,1,MaxHS,43.46,ok
3col140_5_3shuffledcnf.wcnf,1,maxino2018,4.2,ok
3col140_5_3shuffledcnf.wcnf,1,Open-WBO-g,13.24,ok
3col140_5_3shuffledcnf.wcnf,1,Open-WBO-ms,33.61,ok
3col140_5_3shuffledcnf.wcnf,1,Open-WBO-ms-pre,35.15,ok
3col140_5_3shuffledcnf.wcnf,1,QMaxSAT2018,3.19,ok
3col140_5_3shuffledcnf.wcnf,1,UWrMaxSat-1.0,13.11,ok
3col140_5_4shuffledcnf.wcnf,1,MaxHS,33.62,ok
3col140_5_4shuffledcnf.wcnf,1,maxino2018,7.1,ok
3col140_5_4shuffledcnf.wcnf,1,Open-WBO-g,13.53,ok
3col140_5_4shuffledcnf.wcnf,1,Open-WBO-ms,26.51,ok
3col140_5_4shuffledcnf.wcnf,1,Open-WBO-ms-pre,36.39,ok
3col140_5_4shuffledcnf.wcnf,1,QMaxSAT2018,2.55,ok
3col140_5_4shuffledcnf.wcnf,1,UWrMaxSat-1.0,9.76,ok
3col140_5_5shuffledcnf.wcnf,1,MaxHS,23.54,ok
3col140_5_5shuffledcnf.wcnf,1,maxino2018,4.61,ok
3col140_5_5shuffledcnf.wcnf,1,Open-WBO-g,13.71,ok
3col140_5_5shuffledcnf.wcnf,1,Open-WBO-ms,32.94,ok
3col140_5_5shuffledcnf.wcnf,1,Open-WBO-ms-pre,42.66,ok
3col140_5_5shuffledcnf.wcnf,1,QMaxSAT2018,2.33,ok
3col140_5_5shuffledcnf.wcnf,1,UWrMaxSat-1.0,12.76,ok
3col140_5_6shuffledcnf.wcnf,1,MaxHS,44.04,ok
3col140_5_6shuffledcnf.wcnf,1,maxino2018,6.5,ok
3col140_5_6shuffledcnf.wcnf,1,Open-WBO-g,16.24,ok
3col140_5_6shuffledcnf.wcnf,1,Open-WBO-ms,34.79,ok
3col140_5_6shuffledcnf.wcnf,1,Open-WBO-ms-pre,47.14,ok
3col140_5_6shuffledcnf.wcnf,1,QMaxSAT2018,3.32,ok
3col140_5_6shuffledcnf.wcnf,1,UWrMaxSat-1.0,11.57,ok
3col140_5_7shuffledcnf.wcnf,1,MaxHS,21.4,ok
3col140_5_7shuffledcnf.wcnf,1,maxino2018,5.59,ok
3col140_5_7shuffledcnf.wcnf,1,Open-WBO-g,14.85,ok
3col140_5_7shuffledcnf.wcnf,1,Open-WBO-ms,31.41,ok
3col140_5_7shuffledcnf.wcnf,1,Open-WBO-ms-pre,28.24,ok
3col140_5_7shuffledcnf.wcnf,1,QMaxSAT2018,2.79,ok
3col140_5_7shuffledcnf.wcnf,1,UWrMaxSat-1.0,10.86,ok
3col140_5_8shuffledcnf.wcnf,1,MaxHS,50.35,ok
3col140_5_8shuffledcnf.wcnf,1,maxino2018,6.45,ok
3col140_5_8shuffledcnf.wcnf,1,Open-WBO-g,13.46,ok
3col140_5_8shuffledcnf.wcnf,1,Open-WBO-ms,25.83,ok
3col140_5_8shuffledcnf.wcnf,1,Open-WBO-ms-pre,33.76,ok
3col140_5_8shuffledcnf.wcnf,1,QMaxSAT2018,2.96,ok
3col140_5_8shuffledcnf.wcnf,1,UWrMaxSat-1.0,10.86,ok
3col140_5_9shuffledcnf.wcnf,1,MaxHS,76.46,ok
3col140_5_9shuffledcnf.wcnf,1,maxino2018,6.78,ok
3col140_5_9shuffledcnf.wcnf,1,Open-WBO-g,16.66,ok
3col140_5_9shuffledcnf.wcnf,1,Open-WBO-ms,25.81,ok
3col140_5_9shuffledcnf.wcnf,1,Open-WBO-ms-pre,37.07,ok
3col140_5_9shuffledcnf.wcnf,1,QMaxSAT2018,3.22,ok
3col140_5_9shuffledcnf.wcnf,1,UWrMaxSat-1.0,11.13,ok
3ebx_1era_gwcnft.wcnf,1,MaxHS,3600,timeout
3ebx_1era_gwcnft.wcnf,1,maxino2018,658.74,ok
3ebx_1era_gwcnft.wcnf,1,Open-WBO-g,554.56,ok
3ebx_1era_gwcnft.wcnf,1,Open-WBO-ms,358.16,ok
3ebx_1era_gwcnft.wcnf,1,Open-WBO-ms-pre,405.49,ok
3ebx_1era_gwcnft.wcnf,1,QMaxSAT2018,103.42,ok
3ebx_1era_gwcnft.wcnf,1,UWrMaxSat-1.0,379.01,ok
3ebx_6ebx_gwcnft.wcnf,1,MaxHS,177.86,ok
3ebx_6ebx_gwcnft.wcnf,1,maxino2018,39.84,ok
3ebx_6ebx_gwcnft.wcnf,1,Open-WBO-g,51.24,ok
3ebx_6ebx_gwcnft.wcnf,1,Open-WBO-ms,26.39,ok
3ebx_6ebx_gwcnft.wcnf,1,Open-WBO-ms-pre,123.34,ok
3ebx_6ebx_gwcnft.wcnf,1,QMaxSAT2018,8.12,ok
3ebx_6ebx_gwcnft.wcnf,1,UWrMaxSat-1.0,18.85,ok
6ebx_1era_gwcnft.wcnf,1,MaxHS,3600,timeout
6ebx_1era_gwcnft.wcnf,1,maxino2018,216.15,ok
6ebx_1era_gwcnft.wcnf,1,Open-WBO-g,66.29,ok
6ebx_1era_gwcnft.wcnf,1,Open-WBO-ms,67.48,ok
6ebx_1era_gwcnft.wcnf,1,Open-WBO-ms-pre,164.29,ok
6ebx_1era_gwcnft.wcnf,1,QMaxSAT2018,29.95,ok
6ebx_1era_gwcnft.wcnf,1,UWrMaxSat-1.0,108.53,ok
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf,1,MaxHS,31.57,ok
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf,1,maxino2018,4.28,ok
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf,1,Open-WBO-g,3.68,ok
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf,1,Open-WBO-ms,11.9,ok
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf,1,Open-WBO-ms-pre,12.24,ok
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf,1,QMaxSAT2018,7.32,ok
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf,1,UWrMaxSat-1.0,5.95,ok
ac97_ctrl-debugdimacs.wcnf,1,MaxHS,9.83,ok
ac97_ctrl-debugdimacs.wcnf,1,maxino2018,0.62,ok
ac97_ctrl-debugdimacs.wcnf,1,Open-WBO-g,0.29,ok
ac97_ctrl-debugdimacs.wcnf,1,Open-WBO-ms,0.34,ok
