Instance,claspfolio
causal_n7_i7_N1000_uai14_harddeps_int.wcnf,216.5400
g3_n26e25_n27e26_n42e48.wcnf,830.3700
g7_n13e12_n13e12_n13e12_n13e12_n14e13_n15e14_n24e31.wcnf,57.1600
b21_C-mbd14-0205.wcnf,113.8200
normalized-f20c10b_005_area_delay.wcnf,19.9600
TWComp_eil51tsp_N51.wcnf,795.9200
threshold128_3.wcnf,1.0000
rev66-20.wcnf,36000.0000
adult_train_5_CNF_2_1.wcnf,36000.0000
d4.wcnf,36000.0000
rand179_l2.wcnf,1.1900
rsdecoder_fsm1dimacsfiltered.wcnf,239.5100
threshold128_2.wcnf,57.7300
extension-enforcement_non-strict_stb_200_01_4_10_4.wcnf,107.4500
frb40-19-4partial.wcnf,227.6600
house-votes-84.wcnf,36000.0000
gen_add_4_33.wcnf,10.6800
TWComp_huck_N74.wcnf,5.6000
TWComp_miles500_N128.wcnf,452.5500
gen_cvc-add3-carry2-gadget_9999.wcnf,1.3000
MinFill_R10_anna.wcnf,3.1000
divider-problemdimacs_2filtered.wcnf,33.9200
extension-enforcement_non-strict_stb_200_005_4_10_4.wcnf,1261.6100
normalized-5xp1bopbmsat.wcnf,0.2600
sudoku-debugdimacs.wcnf,37.5600
rev66-24.wcnf,36000.0000
TWComp_jean_N77.wcnf,6.3800
kbtree9_7_3_5_90_5wcsp.wcnf,20.3700
cnf8p7.wcnf,30.3700
uaq-plb-nr250-nc83-n5-k2-rpp3-ppr5-plb90.wcnf,1616.9900
wqueens18_16wcspdir.wcnf,146.1200
sbox_8.wcnf,36000.0000
SAT_RACE08__cnf__ibm-2004-01-k90cnfwcnf10.wcnf,9.6000
3col140_5_2shuffledcnf.wcnf,55.3300
SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-12-step16cnfwcnf8.wcnf,12.1400
vga-debugdimacs.wcnf,1.5200
extension-enforcement_non-strict_stb_200_005_3_10_0.wcnf,1457.3600
b17_C-mbd14-0370.wcnf,5.7500
AES1-40-6.wcnf,2.3600
frb35-17-3partial.wcnf,1.8400
s38584_nan_explicit_27_0.wcnf,159.9200
3col140_5_9shuffledcnf.wcnf,37.1200
tae.wcnf,257.5900
b20_C-mbd14-0255.wcnf,95.9000
extension-enforcement_non-strict_stb_200_005_0_10_3.wcnf,389.3900
ram_k3_n10ra0.wcnf,36000.0000
gen_square_5_299.wcnf,1.7000
heatShock_WT_121_12lpsm-extracted.wcnf,2.8900
geffe128_4.wcnf,6.1500
b21-s_PathRelaxation_FS_42.wcnf,3.3100
UAutomizer_NestedRecursion_2b_false-termination_true-valid-memsafetyc_Abstraction2.wcnf,0.3200
15tree401posib.wcnf,5.2300
hungarian.wcnf,36000.0000
gen_mult_3_6_399.wcnf,2.2100
gen_mult_3_5_399.wcnf,2.9500
toms_test_0_CNF_4_1.wcnf,36000.0000
kbtree9_7_3_5_90_4wcsp.wcnf,12.6100
uaq-nr-nr130-nc43-n3-k2-rpp4-ppr2-plb50.wcnf,0.6600
cnf18p4.wcnf,104.3400
s38584_nan_explicit_33_0.wcnf,115.0400
normalized-ssa7552-159opbmsat.wcnf,1.4200
g3_n34e43_n59e60_n71e84.wcnf,35.5500
p_hat300-1clq.wcnf,51.7800
ac97_ctrl-debugdimacs.wcnf,9.7600
TWComp_mulsoli5-pp_N119.wcnf,1451.9900
wolfram80_1.wcnf,17.4500
normalized-f2000.wcnf,36000.0000
heatShock_WT_196_12lpsm-extracted.wcnf,2.8700
b14-s_PathRelaxation_FS_46.wcnf,0.2300
atcoss_sugar_18.wcnf,36000.0000
ionosphere_train_1_CNF_5_1.wcnf,36000.0000
TWComp_myciel4_N23.wcnf,8.7300
sudoku.wcnf,367.7300
g4_n47e57_n58e61_n133e169_n141e184.wcnf,43.6000
15tree701p.wcnf,19.4200
rev66-10.wcnf,111.2600
wb_conmax3dimacsfiltered.wcnf,205.4600
SAT_RACE06__velev-pipe-sat-10-b9cnfwcnf2.wcnf,6.4600
causal_n7_i10_N1000_uai14_constant_int.wcnf,21.7500
maxcut-140-630-07-48.wcnf,36000.0000
mul_8_11.wcnf,36000.0000
cnf18t9.wcnf,36.3300
b14-s_PathRelaxation_FS_14.wcnf,0.2700
we.wcnf,36000.0000
cnf9p10.wcnf,52.7000
TWComp_win95pts_N76.wcnf,6.2600
b21_C-mbd14-0217.wcnf,4.7700
3col140_5_8shuffledcnf.wcnf,61.0000
s38584_nan_explicit_13_0.wcnf,408.9900
MinFill_R0_myciel7.wcnf,36000.0000
frb40-19-1partial.wcnf,6.5300
p_hat300-3clq.wcnf,36000.0000
ram_k3_n12ra0.wcnf,36000.0000
SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-12-step16cnfwcnf7.wcnf,23.2400
causal_n6_i8_N1000_uai14_constant_int.wcnf,2.4300
b14_C-mbd14-0225.wcnf,145.0600
15tree301posib.wcnf,9.8200
b22_C-mbd14-0240.wcnf,8.6300
gen_mult_4_6_991.wcnf,36000.0000
UAutomizer_ll_append-alloca_false-terminationci_Abstraction1.wcnf,0.2400
heatShock_WT_43_12lpsm-extracted.wcnf,2.8700
