@RELATION ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
11pipe_11_ooo.cnf,1,glucose_2.0,5000,timeout
11pipe_11_ooo.cnf,1,glueminisat-2.2.5,2702.68,ok
11pipe_11_ooo.cnf,1,lingeling-587f-4882048-110513,1838.28,ok
11pipe_11_ooo.cnf,1,minisathackcir_minisat_2011.05.13_simp_,5000,timeout
11pipe_11_ooo.cnf,1,minisathackcontrasat_2011.03.02,5000,timeout
11pipe_11_ooo.cnf,1,minisathackEBMiniSAT_2011.03.02,5000,timeout
11pipe_11_ooo.cnf,1,minisathackLR_GL_SHR_2011.03.02,5000,timeout
11pipe_11_ooo.cnf,1,minisathackMiniSAT_2.2.0.agile.26,5000,timeout
11pipe_11_ooo.cnf,1,minisathackminisat_psm_2011.04.01,5000,timeout
11pipe_11_ooo.cnf,1,minisathackreferenceminisat_2.2.0,5000,timeout
11pipe_11_ooo.cnf,1,MPhaseSAT64,5000,timeout
11pipe_11_ooo.cnf,1,rcl_2011.04.01,5000,timeout
11pipe_11_ooo.cnf,1,RestartSAT_B95,5000,timeout
11pipe_11_ooo.cnf,1,SAT09referencesolverprecosat_236,2406.61,ok
11pipe_k.cnf,1,glucose_2.0,5000,timeout
11pipe_k.cnf,1,glueminisat-2.2.5,581.96,ok
11pipe_k.cnf,1,lingeling-587f-4882048-110513,487.67,ok
11pipe_k.cnf,1,minisathackcir_minisat_2011.05.13_simp_,774.70,ok
11pipe_k.cnf,1,minisathackcontrasat_2011.03.02,676.68,ok
11pipe_k.cnf,1,minisathackEBMiniSAT_2011.03.02,5000,timeout
11pipe_k.cnf,1,minisathackLR_GL_SHR_2011.03.02,241.02,ok
11pipe_k.cnf,1,minisathackMiniSAT_2.2.0.agile.26,5000,timeout
11pipe_k.cnf,1,minisathackminisat_psm_2011.04.01,5000,timeout
11pipe_k.cnf,1,minisathackreferenceminisat_2.2.0,5000,timeout
11pipe_k.cnf,1,MPhaseSAT64,1965.57,ok
11pipe_k.cnf,1,rcl_2011.04.01,5000,timeout
11pipe_k.cnf,1,RestartSAT_B95,429.20,ok
11pipe_k.cnf,1,SAT09referencesolverprecosat_236,1520.33,ok
12pipe_bug4_q0used-assat04-723.cnf,1,glucose_2.0,197.78,ok
12pipe_bug4_q0used-assat04-723.cnf,1,glueminisat-2.2.5,38.86,ok
12pipe_bug4_q0used-assat04-723.cnf,1,lingeling-587f-4882048-110513,33.23,ok
12pipe_bug4_q0used-assat04-723.cnf,1,minisathackcir_minisat_2011.05.13_simp_,139.18,ok
12pipe_bug4_q0used-assat04-723.cnf,1,minisathackcontrasat_2011.03.02,34.47,ok
12pipe_bug4_q0used-assat04-723.cnf,1,minisathackEBMiniSAT_2011.03.02,31.02,ok
12pipe_bug4_q0used-assat04-723.cnf,1,minisathackLR_GL_SHR_2011.03.02,29.61,ok
12pipe_bug4_q0used-assat04-723.cnf,1,minisathackMiniSAT_2.2.0.agile.26,40.14,ok
12pipe_bug4_q0used-assat04-723.cnf,1,minisathackminisat_psm_2011.04.01,10.51,ok
12pipe_bug4_q0used-assat04-723.cnf,1,minisathackreferenceminisat_2.2.0,5.28,ok
12pipe_bug4_q0used-assat04-723.cnf,1,MPhaseSAT64,10.82,ok
12pipe_bug4_q0used-assat04-723.cnf,1,rcl_2011.04.01,50.90,ok
12pipe_bug4_q0used-assat04-723.cnf,1,RestartSAT_B95,20.90,ok
12pipe_bug4_q0used-assat04-723.cnf,1,SAT09referencesolverprecosat_236,32.60,ok
12pipe_bug6_q0used-assat04-725.cnf,1,glucose_2.0,49.30,ok
12pipe_bug6_q0used-assat04-725.cnf,1,glueminisat-2.2.5,34.80,ok
12pipe_bug6_q0used-assat04-725.cnf,1,lingeling-587f-4882048-110513,13.05,ok
12pipe_bug6_q0used-assat04-725.cnf,1,minisathackcir_minisat_2011.05.13_simp_,1.46,ok
12pipe_bug6_q0used-assat04-725.cnf,1,minisathackcontrasat_2011.03.02,29.55,ok
12pipe_bug6_q0used-assat04-725.cnf,1,minisathackEBMiniSAT_2011.03.02,32.79,ok
12pipe_bug6_q0used-assat04-725.cnf,1,minisathackLR_GL_SHR_2011.03.02,27.95,ok
12pipe_bug6_q0used-assat04-725.cnf,1,minisathackMiniSAT_2.2.0.agile.26,29.79,ok
12pipe_bug6_q0used-assat04-725.cnf,1,minisathackminisat_psm_2011.04.01,12.43,ok
12pipe_bug6_q0used-assat04-725.cnf,1,minisathackreferenceminisat_2.2.0,1.26,ok
12pipe_bug6_q0used-assat04-725.cnf,1,MPhaseSAT64,11.85,ok
12pipe_bug6_q0used-assat04-725.cnf,1,rcl_2011.04.01,13.46,ok
