Instance,claspfolio
sat/CNP-5-1300.cnf,1.5230
sat/Cake_9_20.cnf,50000.0000
sat/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf,9.2740
sat/cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19.cnf,251.8390
sat/TimetableCNFEncoding_2_UNKNOWN.cnf,50000.0000
sat/apn-sbox6-cut4-helpbox28.cnf,380.5000
sat/exams0.04_2017_9.cnf,240.6070
sat/udiv47prop.cnf,50000.0000
sat/TimetableCNFEncoding_17_UNKNOWN.cnf,1048.5960
sat/CNP-5-600.cnf,7.0510
sat/20180322_164238439_p_cnf_320_1120.cnf,0.7200
sat/dist8.c.cnf,126.6910
sat/mchess_19.cnf,80.8151
sat/ex039_33.cnf,7.1760
sat/a_rphp056_05.cnf,626.6230
sat/cms-scheel-md5-families-r24-c4-p1-3-4-16.cnf,26.3450
sat/dist6.c.cnf,84.9100
sat/queen8_12.col.12.cnf,0.0200
sat/C3-2-31.cnf,15.2270
sat/uniqinv25prop.cnf,38.1640
sat/gto_p50c311.cnf,50000.0000
sat/8-4-8.cnf,50000.0000
sat/satcoin-genesis-SAT-256.cnf,3.3340
sat/sdiv15prop.cnf,127.6000
sat/apn-sbox6-cut3-helpbox30.cnf,175.8750
sat/udiv35prop.cnf,279.5630
sat/course0.2_2018_3_5.cnf,87.4020
sat/ecarev-110-1031-23-40-1.cnf,185.0580
sat/apn-sbox6-cut5-helpbox28.cnf,276.0030
sat/Karatsuba6972593x13466917.cnf,224.3620
sat/apn-sbox6-cut3-helpbox26.cnf,846.1070
sat/sted1_0x1e3-100.cnf,148.6600
sat/udiv40prop.cnf,2208.3470
sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf,85.4170
sat/ecarev-110-4099-22-30-4.cnf,221.4850
sat/bz-X-4-7-6.cnf,371.5530
sat/ex187_10.cnf,265.6710
sat/sdiv16prop.cnf,297.0430
sat/TimetableCNFEncoding_6_UNKNOWN.cnf,50000.0000
sat/satcoin-genesis-SAT-9.cnf,0.9320
sat/queen12_12.col.12.cnf,10.0270
sat/20180326_095805836_p_cnf_320_1120.cnf,11.6350
sat/20180322_164245263_p_cnf_320_1120.cnf,0.7410
sat/dist7.c.cnf,93.2560
sat/Problem14_label57_false-unreach-call.c.cnf,49.0250
sat/sted1_0x24204-350.cnf,50000.0000
sat/bx-d-4-7-6.cnf,237.1860
sat/ex067_10.cnf,227.4910
sat/TimetableCNFEncoding_1_UNKNOWN.cnf,1044.0040
sat/satcoin-genesis-SAT-1024.cnf,28.4220
sat/apn-sbox6-cut5-helpbox30.cnf,272.4140
sat/patat-08-comp-3.cnf,6.3750
sat/by-alt-5-7.cnf,42.2770
sat/courses0.2_2017_9.cnf,155.2580
sat/cannonball-opt-y.rules.4-10.cnf,50000.0000
sat/sted1_0x24204-330.cnf,168.7020
sat/gto_p50c307.cnf,50000.0000
sat/satcoin-genesis-SAT-4096.cnf,42.3100
sat/satcoin-genesis-SAT-16.cnf,1.5800
sat/20180322_164224543_p_cnf_320_1120.cnf,0.5900
sat/sted5_0x1e3-20.cnf,50000.0000
sat/Problem14_label55_true-unreach-call.c.cnf,14.7170
sat/8-5-6.cnf,567.2630
sat/Nb44T6.cnf,873.4240
sat/prime_200560490131.cnf,90.0040
sat/sted1_0x0-420.cnf,50000.0000
sat/apn-sbox6-cut4-helpbox23.cnf,50000.0000
sat/factoring94418953x321534781.cnf,3529.0960
sat/satcoin-genesis-SAT-4.cnf,0.4110
sat/CNP-5-200.cnf,2.5700
sat/gto_p60c239.cnf,59.9430
sat/sted1_0x1e3-300.cnf,50000.0000
sat/20180322_164241842_p_cnf_320_1120.cnf,0.4400
sat/ex015_14.cnf,50000.0000
sat/quadratic_tight_error.c.cnf,98.7840
sat/Nb8T62.cnf,0.3520
sat/Nb8T60.cnf,0.5440
sat/CNP-5-1000.cnf,2.1070
sat/gto_p60c243.cnf,86.2440
sat/6-4-6.cnf,50000.0000
sat/gto_p60c234.cnf,86.9480
sat/CNP-5-0.cnf,5.5780
sat/apn-sbox6-cut4-helpbox30.cnf,10.1890
sat/sdiv17prop.cnf,727.7950
sat/Nb42T6.cnf,419.0800
sat/gto_p50c314_1.cnf,50000.0000
sat/1mod8.rules.7-7.cnf,50000.0000
sat/CNP-5-800.cnf,2.1220
sat/sted5_0x0-50.cnf,42.1750
sat/a_rphp035_05.cnf,861.5460
sat/cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf,51.5900
sat/20180322_164226661_p_cnf_320_1120.cnf,0.6330
sat/uniqinv47prop.cnf,1589.1620
sat/sqrt_ineq_3.c.cnf,1.9600
sat/20180326_095804936_p_cnf_320_1120.cnf,0.6910
sat/pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf,99.0070
sat/queen14_14.col.14.cnf,50000.0000
sat/school1.col.14.cnf,0.7210
sat/queen8-8-9.cnf,0.4000
sat/sted1_0x24204-380.cnf,50000.0000
sat/e_rphp055_04.cnf,115.2720
sat/CNP-5-400.cnf,5.1220
sat/satcoin-genesis-SAT-64.cnf,3.9500
sat/Problem14_label19_true-unreach-call.c.cnf,30.8660
sat/sdiv20prop.cnf,50000.0000
sat/Karatsuba4477457x5308417.cnf,169.0740
sat/TimetableCNFEncoding_16_UNKNOWN.cnf,50000.0000
sat/CNP-5-700.cnf,2.1520
sat/dist9.c.cnf,102.5190
sat/factoring87654321x12345678.cnf,46.3710
sat/ecarev-110-4099-22-30-2.cnf,180.3320
sat/Nb39T6.cnf,508.3820
sat/ecarev-110-1031-23-40-7.cnf,100.1590
sat/satcoin-genesis-SAT-10.cnf,2.8700
sat/si2-b06m-m1000-03.cnf,2.9650
sat/dist5.c.cnf,117.6030
sat/apn-sbox6-cut5-helpbox26.cnf,50000.0000
sat/le450_25a.col.25.cnf,50000.0000
sat/gto_p50c314.cnf,50000.0000
sat/school1_nsh.col.14.cnf,0.3990
sat/Nb29T6.cnf,68.2190
sat/e_rphp096_04.cnf,466.9230
sat/gto_p50c291.cnf,50000.0000
sat/Nb13T165.cnf,2.6340
sat/ecarev-110-1031-23-40-8.cnf,227.8740
sat/Nb45T6.cnf,440.9250
sat/prime_119218851371.cnf,69.3820
sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf,0.0500
sat/CNP-5-500.cnf,2.1250
sat/gto_p60c295.cnf,50000.0000
sat/pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf,412.0320
sat/7-4-7.cnf,50000.0000
sat/sqrt_ineq_2.c.cnf,2.3070
sat/8-4-9.cnf,50000.0000
sat/ortholatin-7.cnf,0.5800
sat/TimetableCNFEncoding_10_UNKNOWN.cnf,50000.0000
sat/ex145_11.cnf,50000.0000
sat/a_rphp065_04.cnf,425.8670
sat/a_rphp098_04.cnf,476.5220
sat/cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf,0.7420
sat/e_rphp056_05.cnf,851.3970
sat/ex065_25.cnf,16.9770
sat/ecarev-110-1031-23-40-5.cnf,211.5110
sat/e_rphp065_05.cnf,561.9370
sat/magicSquare-9_glb.cnf,9.4720
sat/20180321_140833987_p_cnf_320_1120.cnf,433.6240
sat/bibd-8-70-35-4-15_glb.cnf,18.8290
sat/sted1_0x0-330.cnf,22.4440
sat/terminator_03_true-unreach-call_true-termination.i.cnf,16.8960
sat/sdiv25prop.cnf,50000.0000
sat/le450_25b.col.25.cnf,50000.0000
sat/apn-sbox5-cut4-symmbreak.cnf,2573.8380
sat/ecarev-110-1031-23-40-3.cnf,7.7410
sat/CNP-5-1800.cnf,2.6590
sat/full-cy-caa.rules.7-7.cnf,41.4560
sat/ex179_11.cnf,292.7940
sat/9-4-10.cnf,50000.0000
sat/TimetableCNFEncoding_5_UNKNOWN.cnf,50000.0000
sat/TimetableCNFEncoding_4_UNKNOWN.cnf,50000.0000
sat/si2-b03m-m400-03.cnf,6.9010
sat/commutativity3.c.cnf,50000.0000
sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf,38.5920
sat/cms-scheel-md5-families-r24-c5-p2-7-8-15-19.cnf,461.4050
sat/sted5_0x0-40.cnf,1.1860
sat/satcoin-genesis-SAT-8192.cnf,48.3010
sat/apn-sbox6-cut3-helpbox31.cnf,170.5100
sat/Karatsuba7654321x1234567.cnf,69.3320
sat/uniqinv20prop.cnf,19.2060
sat/cz-3-7-7.cnf,795.4380
sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf,6.6140
sat/mchess_16.cnf,0.0060
sat/le450_25c.col.25.cnf,50000.0000
sat/pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf,127.8910
sat/CNP-5-1700.cnf,1.4110
sat/ae_rphp075_04.cnf,568.6790
sat/factoring54018521x562448657.cnf,47.5540
sat/ex051_9.cnf,50000.0000
sat/ae_rphp062_05.cnf,865.9860
sat/20180326_095804286_p_cnf_320_1120.cnf,1.4400
sat/mod8-bbd-zbd.rules.7-7.cnf,50000.0000
sat/satcoin-genesis-SAT-128.cnf,3.5770
sat/satcoin-genesis-SAT-2048.cnf,3.3970
sat/dist4.c.cnf,93.0010
sat/Cake_8_16.cnf,810.5270
sat/uniqinv40prop.cnf,349.7900
sat/gto_p60c235.cnf,117.4000
sat/apn-sbox6-cut4-helpbox31.cnf,79.5550
sat/gto_p50c345.cnf,50000.0000
sat/ex025_19.cnf,50000.0000
sat/less-cy-caa.rules.6-4.cnf,119.1600
sat/8-4-10.cnf,50000.0000
sat/ae_rphp055_04.cnf,119.0190
sat/assoc2.c.cnf,50000.0000
sat/CNP-5-1500.cnf,1.6860
sat/sdiv40prop.cnf,50000.0000
sat/Problem11_label51_false-unreach-call.c.cnf,267.8770
sat/apn-sbox6-cut5-helpbox23.cnf,50000.0000
sat/mod8-abd-yad.rules.7-7.cnf,20.7430
sat/Problem14_label20_true-unreach-call.c.cnf,2.9230
sat/dist10.c.cnf,121.4440
sat/sted5_0x24204-70.cnf,50000.0000
sat/satcoin-genesis-SAT-32.cnf,1.3360
sat/CNP-5-900.cnf,24.2190
sat/apn-sbox6-cut3-helpbox23.cnf,50000.0000
sat/udiv46prop.cnf,50000.0000
sat/gto_p50c312.cnf,50000.0000
sat/frb35-17-5-mgd_ext.cnf,7.1580
sat/gto_p60c231_1.cnf,53.9990
sat/bibd-19-57-9-3-1_glb.cnf,0.3610
sat/ecarev-110-4099-22-30-7.cnf,104.8300
sat/gto_p60c238.cnf,120.1030
sat/10-4-10.cnf,50000.0000
sat/ex065_24.cnf,50000.0000
sat/ecarev-110-1031-23-40-6.cnf,447.4280
sat/CNP-5-1400.cnf,1.4990
sat/full-ax-xa.rules.7-7.cnf,51.4560
sat/cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf,0.5680
sat/sted5_0x0-60.cnf,328.4710
sat/cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf,169.5560
sat/le450_15b.col.15.cnf,0.3370
sat/course0.16_2018_3_5.cnf,532.7050
sat/satcoin-genesis-SAT-512.cnf,18.9420
sat/apn-sbox6-cut4-helpbox26.cnf,213.8760
sat/filter_iir_true-unreach-call.c.cnf,293.6830
sat/20180326_095801070_p_cnf_320_1120.cnf,0.6400
sat/apn-sbox6-cut3-helpbox28.cnf,306.1450
sat/quadratic_loose_error.c.cnf,12.4970
sat/huck.col.11.cnf,0.0110
sat/20180321_140827428_p_cnf_320_1120.cnf,0.0300
sat/cz-alt-3-7.cnf,1647.6870
sat/20180322_164226378_p_cnf_320_1120.cnf,0.0410
sat/20180322_164241329_p_cnf_320_1120.cnf,0.3550
sat/sted5_0x0-70.cnf,50000.0000
sat/20180322_164223076_p_cnf_320_1120.cnf,3.9300
sat/5or7mod8.rules.7-7.cnf,50000.0000
sat/le450_15c.col.15.cnf,22.5470
sat/ax-d-4-7-5.cnf,50000.0000
sat/e_rphp065_04.cnf,306.0780
sat/TimetableCNFEncoding_20_UNKNOWN.cnf,11.8540
sat/udiv45prop.cnf,50000.0000
sat/gto_p60c233.cnf,71.6330
sat/factoring39916801x54018521.cnf,37.2630
sat/queen13_13.col.13.cnf,29.2900
sat/TimetableCNFEncoding_8_UNKNOWN.cnf,50000.0000
sat/ex157_10.cnf,109.6510
sat/sdiv30prop.cnf,50000.0000
sat/apn-sbox6-cut3-helpbox29.cnf,203.8230
sat/course0.12_2018_3_1.cnf,299.5330
