Instance,claspfolio
sat/CNP-5-1300.cnf,1.7200
sat/Cake_9_20.cnf,50000.0000
sat/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf,545.4100
sat/cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19.cnf,766.5900
sat/TimetableCNFEncoding_2_UNKNOWN.cnf,50000.0000
sat/apn-sbox6-cut4-helpbox28.cnf,50000.0000
sat/exams0.04_2017_9.cnf,600.2800
sat/udiv47prop.cnf,50000.0000
sat/TimetableCNFEncoding_17_UNKNOWN.cnf,980.1000
sat/CNP-5-600.cnf,8.9300
sat/20180322_164238439_p_cnf_320_1120.cnf,0.0600
sat/dist8.c.cnf,334.1000
sat/mchess_19.cnf,0.0000
sat/ex039_33.cnf,8.1000
sat/a_rphp056_05.cnf,1075.3800
sat/cms-scheel-md5-families-r24-c4-p1-3-4-16.cnf,154.5600
sat/dist6.c.cnf,289.3300
sat/queen8_12.col.12.cnf,0.0200
sat/C3-2-31.cnf,73.0500
sat/uniqinv25prop.cnf,523.0500
sat/gto_p50c311.cnf,50000.0000
sat/8-4-8.cnf,50000.0000
sat/satcoin-genesis-SAT-256.cnf,3.9400
sat/sdiv15prop.cnf,187.4900
sat/apn-sbox6-cut3-helpbox30.cnf,609.7000
sat/udiv35prop.cnf,351.0100
sat/course0.2_2018_3_5.cnf,144.3300
sat/ecarev-110-1031-23-40-1.cnf,352.6400
sat/apn-sbox6-cut5-helpbox28.cnf,50000.0000
sat/Karatsuba6972593x13466917.cnf,321.6500
sat/apn-sbox6-cut3-helpbox26.cnf,543.1900
sat/sted1_0x1e3-100.cnf,639.1900
sat/udiv40prop.cnf,2502.9400
sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf,136.8400
sat/ecarev-110-4099-22-30-4.cnf,402.6700
sat/bz-X-4-7-6.cnf,1729.3500
sat/ex187_10.cnf,510.8800
sat/sdiv16prop.cnf,835.0100
sat/TimetableCNFEncoding_6_UNKNOWN.cnf,50000.0000
sat/satcoin-genesis-SAT-9.cnf,1.0500
sat/queen12_12.col.12.cnf,0.0300
sat/20180326_095805836_p_cnf_320_1120.cnf,4.3800
sat/20180322_164245263_p_cnf_320_1120.cnf,34.3800
sat/dist7.c.cnf,236.5800
sat/Problem14_label57_false-unreach-call.c.cnf,127.5500
sat/sted1_0x24204-350.cnf,50000.0000
sat/bx-d-4-7-6.cnf,50000.0000
sat/ex067_10.cnf,696.6600
sat/TimetableCNFEncoding_1_UNKNOWN.cnf,980.0500
sat/satcoin-genesis-SAT-1024.cnf,32.3700
sat/apn-sbox6-cut5-helpbox30.cnf,294.0800
sat/patat-08-comp-3.cnf,40.6300
sat/by-alt-5-7.cnf,80.4200
sat/courses0.2_2017_9.cnf,443.2100
sat/cannonball-opt-y.rules.4-10.cnf,50000.0000
sat/sted1_0x24204-330.cnf,269.8200
sat/gto_p50c307.cnf,50000.0000
sat/satcoin-genesis-SAT-4096.cnf,60.0900
sat/satcoin-genesis-SAT-16.cnf,1.6900
sat/20180322_164224543_p_cnf_320_1120.cnf,35.5800
sat/sted5_0x1e3-20.cnf,50000.0000
sat/Problem14_label55_true-unreach-call.c.cnf,17.0500
sat/8-5-6.cnf,50000.0000
sat/Nb44T6.cnf,1397.5300
sat/prime_200560490131.cnf,248.7900
sat/sted1_0x0-420.cnf,50000.0000
sat/apn-sbox6-cut4-helpbox23.cnf,50000.0000
sat/factoring94418953x321534781.cnf,50000.0000
sat/satcoin-genesis-SAT-4.cnf,4.2300
sat/CNP-5-200.cnf,2.4300
sat/gto_p60c239.cnf,120.8900
sat/sted1_0x1e3-300.cnf,50000.0000
sat/20180322_164241842_p_cnf_320_1120.cnf,1.4400
sat/ex015_14.cnf,50000.0000
sat/quadratic_tight_error.c.cnf,648.2600
sat/Nb8T62.cnf,56.2800
sat/Nb8T60.cnf,28.3100
sat/CNP-5-1000.cnf,9.3600
sat/gto_p60c243.cnf,381.2600
sat/6-4-6.cnf,50000.0000
sat/gto_p60c234.cnf,137.3600
sat/CNP-5-0.cnf,6.7300
sat/apn-sbox6-cut4-helpbox30.cnf,249.8000
sat/sdiv17prop.cnf,1769.7900
sat/Nb42T6.cnf,1167.4700
sat/gto_p50c314_1.cnf,50000.0000
sat/1mod8.rules.7-7.cnf,50000.0000
sat/CNP-5-800.cnf,43.6600
sat/sted5_0x0-50.cnf,481.6000
sat/a_rphp035_05.cnf,1697.0800
sat/cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf,408.6800
sat/20180322_164226661_p_cnf_320_1120.cnf,13.7300
sat/uniqinv47prop.cnf,50000.0000
sat/sqrt_ineq_3.c.cnf,2.0600
sat/20180326_095804936_p_cnf_320_1120.cnf,0.8000
sat/pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf,120.0100
sat/queen14_14.col.14.cnf,50000.0000
sat/school1.col.14.cnf,1.8400
sat/queen8-8-9.cnf,1.8900
sat/sted1_0x24204-380.cnf,50000.0000
sat/e_rphp055_04.cnf,323.5000
sat/CNP-5-400.cnf,1.1300
sat/satcoin-genesis-SAT-64.cnf,60.0600
sat/Problem14_label19_true-unreach-call.c.cnf,117.7900
sat/sdiv20prop.cnf,50000.0000
sat/Karatsuba4477457x5308417.cnf,32.2500
sat/TimetableCNFEncoding_16_UNKNOWN.cnf,50000.0000
sat/CNP-5-700.cnf,1.2700
sat/dist9.c.cnf,295.1800
sat/factoring87654321x12345678.cnf,254.5000
sat/ecarev-110-4099-22-30-2.cnf,310.6600
sat/Nb39T6.cnf,355.9400
sat/ecarev-110-1031-23-40-7.cnf,252.8200
sat/satcoin-genesis-SAT-10.cnf,4.2200
sat/si2-b06m-m1000-03.cnf,6.3800
sat/dist5.c.cnf,229.1900
sat/apn-sbox6-cut5-helpbox26.cnf,50000.0000
sat/le450_25a.col.25.cnf,50000.0000
sat/gto_p50c314.cnf,50000.0000
sat/school1_nsh.col.14.cnf,0.3000
sat/Nb29T6.cnf,161.1900
sat/e_rphp096_04.cnf,1001.5100
sat/gto_p50c291.cnf,50000.0000
sat/Nb13T165.cnf,50000.0000
sat/ecarev-110-1031-23-40-8.cnf,789.4100
sat/Nb45T6.cnf,1413.3500
sat/prime_119218851371.cnf,112.9900
sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf,42.6100
sat/CNP-5-500.cnf,70.1700
sat/gto_p60c295.cnf,50000.0000
sat/pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf,1685.6000
sat/7-4-7.cnf,50000.0000
sat/sqrt_ineq_2.c.cnf,2.4700
sat/8-4-9.cnf,50000.0000
sat/ortholatin-7.cnf,0.7400
sat/TimetableCNFEncoding_10_UNKNOWN.cnf,50000.0000
sat/ex145_11.cnf,50000.0000
sat/a_rphp065_04.cnf,1874.6100
sat/a_rphp098_04.cnf,50000.0000
sat/cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf,0.8800
sat/e_rphp056_05.cnf,1362.1900
sat/ex065_25.cnf,50000.0000
sat/ecarev-110-1031-23-40-5.cnf,371.9600
sat/e_rphp065_05.cnf,1118.3800
sat/magicSquare-9_glb.cnf,214.4100
sat/20180321_140833987_p_cnf_320_1120.cnf,613.6400
sat/bibd-8-70-35-4-15_glb.cnf,29.3300
sat/sted1_0x0-330.cnf,244.1700
sat/terminator_03_true-unreach-call_true-termination.i.cnf,48.0100
sat/sdiv25prop.cnf,50000.0000
sat/le450_25b.col.25.cnf,50000.0000
sat/apn-sbox5-cut4-symmbreak.cnf,50000.0000
sat/ecarev-110-1031-23-40-3.cnf,20.4500
sat/CNP-5-1800.cnf,2.8500
sat/full-cy-caa.rules.7-7.cnf,70.1200
sat/ex179_11.cnf,50000.0000
sat/9-4-10.cnf,50000.0000
sat/TimetableCNFEncoding_5_UNKNOWN.cnf,50000.0000
sat/TimetableCNFEncoding_4_UNKNOWN.cnf,50000.0000
sat/si2-b03m-m400-03.cnf,11.2400
sat/commutativity3.c.cnf,50000.0000
sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf,22.4200
sat/cms-scheel-md5-families-r24-c5-p2-7-8-15-19.cnf,403.1800
sat/sted5_0x0-40.cnf,4.0500
sat/satcoin-genesis-SAT-8192.cnf,331.9600
sat/apn-sbox6-cut3-helpbox31.cnf,419.6700
sat/Karatsuba7654321x1234567.cnf,680.6700
sat/uniqinv20prop.cnf,364.6200
sat/cz-3-7-7.cnf,1738.1000
sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf,46.5500
sat/mchess_16.cnf,0.0000
sat/le450_25c.col.25.cnf,50000.0000
sat/pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf,281.1400
sat/CNP-5-1700.cnf,5.5800
sat/ae_rphp075_04.cnf,1325.0800
sat/factoring54018521x562448657.cnf,191.6200
sat/ex051_9.cnf,50000.0000
sat/ae_rphp062_05.cnf,50000.0000
sat/20180326_095804286_p_cnf_320_1120.cnf,1.4500
sat/mod8-bbd-zbd.rules.7-7.cnf,50000.0000
sat/satcoin-genesis-SAT-128.cnf,60.2100
sat/satcoin-genesis-SAT-2048.cnf,3.9800
sat/dist4.c.cnf,247.6600
sat/Cake_8_16.cnf,791.1600
sat/uniqinv40prop.cnf,882.2400
