@relation R_data_frame

@attribute instance_id string
@attribute repetition numeric
@attribute ALL numeric

@data
10tree1020p.wcnf,1,0.36
10tree115p.wcnf,1,0.35
10tree125p.wcnf,1,0.36
10tree315p.wcnf,1,0.35
10tree320p.wcnf,1,0.19
10tree425p.wcnf,1,0.36
10tree430p.wcnf,1,0.19
10tree730p.wcnf,1,0.38
10tree825p.wcnf,1,0.2
15tree101p.wcnf,1,3.71
15tree201p.wcnf,1,3.77
15tree301posib.wcnf,1,9.93
15tree401posib.wcnf,1,9.72
15tree501p.wcnf,1,9.86
15tree701p.wcnf,1,9.94
1bpi_2knt_gwcnft.wcnf,1,1200
1bpi_5pti_gwcnft.wcnf,1,1200
1knt_1bpi_gwcnft.wcnf,1,1200
1knt_2knt_gwcnft.wcnf,1,567.04
1knt_5pti_gwcnft.wcnf,1,1200
2c3aece6-c8b2-11df-a040-00163e3d3b7c_l3.wcnf,1,4.24
2knt_5pti_gwcnft.wcnf,1,1200
3col140_5_1shuffledcnf.wcnf,1,0
3col140_5_10shuffledcnf.wcnf,1,0
3col140_5_2shuffledcnf.wcnf,1,0
3col140_5_3shuffledcnf.wcnf,1,0.02
3col140_5_4shuffledcnf.wcnf,1,0.02
3col140_5_5shuffledcnf.wcnf,1,0
3col140_5_6shuffledcnf.wcnf,1,0.03
3col140_5_7shuffledcnf.wcnf,1,0.02
3col140_5_8shuffledcnf.wcnf,1,0.02
3col140_5_9shuffledcnf.wcnf,1,0
3ebx_1era_gwcnft.wcnf,1,1200
3ebx_6ebx_gwcnft.wcnf,1,511.97
6ebx_1era_gwcnft.wcnf,1,416.51
7f80e4f0-4fe9-11e0-acd7-00163e1e087d_l3.wcnf,1,0.11
ac97_ctrl-debugdimacs.wcnf,1,0.04
adult_train_1_DNF_2_1.wcnf,1,43.74
adult_train_5_CNF_2_1.wcnf,1,250.89
adult_train_8_CNF_3_1.wcnf,1,441.13
AES1-30-5.wcnf,1,34.71
AES1-40-6.wcnf,1,34.86
AES1-40-7.wcnf,1,34.79
AES1-60-17.wcnf,1,35.6
AES1-70-24.wcnf,1,35.86
AES1-76-37.wcnf,1,35.92
AES2-50-52.wcnf,1,35.34
AES2-70-61.wcnf,1,35.83
AES2-72-67.wcnf,1,35.86
AES2-74-11.wcnf,1,35.96
AES2-74-73.wcnf,1,35.33
apt-cudf-universe0ea62c_l1.wcnf,1,0.09
atcoss_mesat_01.wcnf,1,0.23
atcoss_mesat_03.wcnf,1,0.23
atcoss_mesat_04.wcnf,1,0.36
atcoss_mesat_05.wcnf,1,0.35
atcoss_mesat_06.wcnf,1,0.35
atcoss_mesat_10.wcnf,1,0.26
atcoss_mesat_12.wcnf,1,0.26
atcoss_mesat_18.wcnf,1,0.35
atcoss_sugar_01.wcnf,1,100.61
atcoss_sugar_02.wcnf,1,104.28
atcoss_sugar_04.wcnf,1,366.78
atcoss_sugar_05.wcnf,1,344.76
atcoss_sugar_12.wcnf,1,116.38
atcoss_sugar_15.wcnf,1,342.8
atcoss_sugar_18.wcnf,1,401.16
atcoss_sugar_19.wcnf,1,1200
australian.wcnf,1,1200
b14_C-mbd14-0225.wcnf,1,0.69
b14_C-mbd14-0307.wcnf,1,0.69
b14-s_PathRelaxation_FS_14.wcnf,1,1.49
