InstanceName,blind,Complementary1,Complementary2,DecStar,Delfi1,Delfi2,FDMS1,FDMS2,Metis1,Metis2,Planning-PDBs,Scorpion,symbolic-bidirectional,Symple-1,Symple-2
agricola_p01.pddl,1800,126.91,60.59,1800,19.62,1800,106.16,119.89,1800,1800,58.36,1800,19.97,1800,1800
agricola_p02.pddl,1800,159.41,235.16,1800,36.39,65.98,90.09,324.51,1800,1800,239.12,1800,82.64,1800,1800
agricola_p03.pddl,1800,1800,1800,1800,82.79,135.39,141.71,437.65,1800,1800,1800,1520.84,98.66,1800,1800
agricola_p04.pddl,1800,242.51,148.41,1800,31.93,52.76,360.38,177.27,1800,1800,142.08,1800,49.77,1800,1800
agricola_p05.pddl,1800,1800,1800,1800,96.37,136.57,213.8,435.26,1800,1800,1800,1800,51.13,1800,1800
agricola_p06.pddl,1800,1800,1800,1800,108.76,170.44,425.39,727.64,1800,1800,1800,1800,307.95,1800,1800
agricola_p07.pddl,1800,1800,922.57,1800,78.81,109.01,1800,270.75,1800,1800,1800,1800,79.27,1800,1800
agricola_p08.pddl,1800,1800,1800,1800,533.15,592.42,1800,412.72,1800,1800,1800,1800,440.36,1800,1800
agricola_p09.pddl,1800,1800,1800,1800,1271.77,1238.67,1800,1800,1800,1800,1800,1800,278.25,1800,1800
agricola_p10.pddl,1800,1800,1800,1800,177.37,239.31,1800,1800,1800,1800,1800,1800,169.93,1800,1800
agricola_p11.pddl,1800,1800,1800,1800,366.2,438.92,1800,782.47,1800,1800,1800,1800,364.59,1800,1800
agricola_p12.pddl,1800,1800,1800,1800,1134.43,1167.17,1800,1800,1800,1800,1800,1800,370.67,1800,1800
agricola_p13.pddl,1800,1800,1800,1800,1179.01,1186.23,1800,673.41,1800,1800,1800,1800,1800,1800,1800
agricola_p14.pddl,1800,1800,1800,1800,1800,1800,1800,950.18,1800,1800,1800,1800,1800,1800,1800
agricola_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p16.pddl,1800,1800,1800,1800,1800,1800,1800,716.8,1800,1800,1800,1800,1800,1800,1800
agricola_p17.pddl,1800,1800,1800,1800,1275.28,1383.11,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p18.pddl,1800,1800,1800,1800,1800,1423.47,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p19.pddl,1800,1800,1800,1800,1414.46,1449.61,1800,1800,1800,1800,1800,1800,1800,1800,1800
agricola_p20.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p01.pddl,1800,1800,1800,1800,1.39,1.68,1800,0.67,1800,1800,1800,200.14,0.81,1.73,1.92
caldera_p02.pddl,1800,1800,1800,1800,1.54,1800,1.21,1800,1800,1800,1800,1800,1800,4.91,1800
caldera_p03.pddl,1800,1800,1.85,1800,1800,1800,1800,1800,1800,1800,1800,200.5,1.11,1800,3.64
caldera_p04.pddl,1800,1800,1800,1800,1.48,2.89,1800,1800,1800,1800,1800,200.41,1800,4.31,1800
caldera_p05.pddl,1800,1800,85.68,251.69,4.5,59.09,46.18,110.49,1.43,1800,1800,203.85,8.12,1477.08,1486.25
caldera_p06.pddl,1800,10.7,23.53,143.69,1800,202.77,134.14,370.46,1800,1800,1800,209.53,9.03,224.8,224.38
caldera_p07.pddl,1800,95.24,164.68,340.39,1800,54.1,43.71,140.09,1800,1800,1800,205.04,6.71,722.58,1800
caldera_p08.pddl,1800,13.95,8.28,82.09,1800,1800,13.16,1800,1800,1800,1800,202.68,3.47,159.28,158.3
caldera_p09.pddl,1800,1800,1025.19,1800,49.13,55.17,1104.41,1306.13,48.91,39.17,1800,569.84,1800,1800,1800
caldera_p10.pddl,1800,1800,1800,1800,10.14,1558.8,1800,496.05,1800,6.69,1800,482.45,346.65,1800,1800
caldera_p11.pddl,1800,1800,999.01,1800,48.71,1800,878.63,954.3,48.92,36.93,1800,743.46,1800,1800,1800
caldera_p12.pddl,1800,1800,974.75,1800,19.17,1800,653.66,910.98,18.12,15.39,1800,464.96,1800,1800,1800
caldera_p13.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p14.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p16.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p17.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p18.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p19.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera_p20.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p01.pddl,1800,4.11,1800,1800,4.51,5.55,5.14,3.64,1800,1800,1800,203.83,1800,9,8.6
caldera-split_p02.pddl,1800,1800,3.3,87.32,6.3,4.45,23.74,13.83,1.87,1800,1800,1800,3.07,1800,11.51
caldera-split_p03.pddl,1800,3.65,3.3,94.58,4.8,12.45,12.1,1800,1800,1800,1800,205.01,2.51,9.81,10.1
caldera-split_p04.pddl,1800,3.98,3.84,67.02,5.24,1800,57.17,18.85,1800,1800,1800,203.07,2.42,12.93,12.77
caldera-split_p05.pddl,20.37,269.99,1800,1800,8.08,10.81,1800,902.69,6.52,1800,1800,410.56,5.64,522.95,534.52
caldera-split_p06.pddl,36.47,62.85,93.48,1800,16.09,18.59,1800,913.74,15.15,16.11,1800,1460.74,9.68,1800,1800
caldera-split_p07.pddl,19.73,19.43,14.8,320.49,9.11,1800,74.21,901.5,4.92,5.51,15.1,404.48,5.27,312.93,334.29
caldera-split_p08.pddl,5.62,1800,1800,129.74,1800,6.02,86.84,206.75,3.12,3.15,8.98,237.65,3.89,134.67,139.23
caldera-split_p09.pddl,1800,1800,1800,1800,1475.77,1800,190.17,1034.54,1477.02,1542.79,1800,1800,1800,1800,1800
caldera-split_p10.pddl,1800,1800,1800,1800,46.66,49.73,96.37,906.44,158.38,134.21,1800,1800,1800,1800,1800
caldera-split_p11.pddl,1800,1800,1800,1800,1800,1800,1800,1483.28,1800,1800,1800,1800,1800,1800,1800
caldera-split_p12.pddl,1800,1800,1800,1800,1800,1800,490.59,1017.65,1800,1800,1800,1800,1800,1800,1800
caldera-split_p13.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p14.pddl,1800,1800,1800,1800,4.01,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p15.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p16.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p17.pddl,1800,1800,1800,1800,1800,176.52,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p18.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p19.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
caldera-split_p20.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
data-network_p01.pddl,1800,3.33,3.47,0.35,3.29,5.58,4.55,14.78,1800,1800,2.18,200.16,0.73,5.08,1800
data-network_p02.pddl,1800,1800,1800,1800,2.43,1800,6.06,11.54,1800,1800,1800,202.9,0.87,7.16,7.85
data-network_p03.pddl,110.76,83.35,94.62,1800,3.37,3.75,17.4,60.71,1800,1800,85.32,1800,4.87,231.86,235.22
data-network_p04.pddl,1800,1800,904.49,1800,81.4,82.6,63.95,1800,43.4,47.41,913.38,304.51,39.76,1800,1800
data-network_p05.pddl,1800,1800,1800,1800,3.52,1800,1800,1800,2.83,2.82,1800,210.96,55.38,1800,1800
data-network_p06.pddl,1800,1800,913.15,1800,2.63,65.6,1800,1800,1800,1800,914.52,360.7,103.6,1800,1800
data-network_p07.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
data-network_p08.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
data-network_p09.pddl,1800,5.39,4.92,1800,2.96,12.02,8.8,23.4,3.28,1800,4.92,211.73,1.12,31.41,32.26
data-network_p10.pddl,234.51,1800,907.45,6.24,7.77,3.59,21.11,45.01,20.86,21.36,785.28,1800,1800,1800,1800
data-network_p11.pddl,1800,1800,1800,1800,1800,1800,1800,49.96,0.72,1800,40.58,201.02,1800,189.74,191.11
data-network_p12.pddl,1800,1800,1800,0.82,1800,3.97,1800,98.81,1800,1800,1800,205.5,1800,700.7,721.15
data-network_p13.pddl,1800,1800,1800,1800,2.94,10.8,55.92,158.74,1800,1800,1800,205.55,1800,1017.37,1032.47
data-network_p14.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
data-network_p15.pddl,21.49,1800,34.49,1800,3.93,4.53,36.95,128.31,1800,1800,34.26,201.91,1800,293.04,293.32
data-network_p16.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
data-network_p17.pddl,1800,1800,1800,1800,57.2,1800,1800,1800,62.36,1800,1800,208.27,1800,1800,1800
data-network_p18.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
data-network_p19.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,289.42,1800,1800,1800
data-network_p20.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p01.pddl,1800,1800,1800,1800,319.12,1.77,1800,1800,1800,1800,1.03,198.23,1800,1800,1800
nurikabe_p02.pddl,1800,1800,1800,1800,1.33,1.81,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p03.pddl,1800,1800,1800,1800,1800,5.33,1800,0.44,1800,1800,1800,198.88,1800,1800,1.76
nurikabe_p04.pddl,1800,1.13,1.57,1.98,1.7,4.55,1800,1800,1800,1800,1800,199.45,1800,2.78,1800
nurikabe_p05.pddl,1800,6.2,5.02,1800,5.07,1800,1800,11.01,1800,1800,1800,200.24,1800,71.79,72.79
nurikabe_p06.pddl,1800,1.73,1800,1800,3.34,12.92,1800,1800,1800,1800,1800,200.97,1800,9.62,10
nurikabe_p07.pddl,1800,115.31,99.18,90.46,3.06,11.77,6.61,145.93,1800,1800,102.21,201.63,1800,1249.64,1268.2
nurikabe_p08.pddl,1800,1800,4.9,1800,3.14,28.81,3.31,41.68,1800,1800,5.04,201.8,1800,74.35,75.63
nurikabe_p09.pddl,5.68,1800,1800,201.75,6.09,34.88,29.04,907.14,1800,1800,1800,204.4,1800,1800,1800
nurikabe_p10.pddl,10.03,1800,1800,50.66,4.83,25.56,24.9,986.32,7.79,1800,931.3,204.47,1800,1800,1800
nurikabe_p11.pddl,1800,1005.33,1079.45,1800,142.2,814.91,1800,913.66,819.27,1800,1068.28,240.15,1800,1800,1800
nurikabe_p12.pddl,1800,1800,1800,1800,496.86,566.84,312.87,914.9,437.79,1800,1800,228.83,1800,1800,1800
nurikabe_p13.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p14.pddl,1800,1104.35,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p15.pddl,1800,1800,1800,1800,334.89,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p16.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p17.pddl,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
nurikabe_p18.pddl,1800,1800,1800,1800,47.38,396.99,1800,1800,1800,1800,1800,1800,1800,1800,1800
