InstanceName,glucose_2.0,glueminisat-2.2.5,lingeling-587f-4882048-110513,minisathackcir_minisat_2011.05.13_simp_,minisathackcontrasat_2011.03.02,minisathackEBMiniSAT_2011.03.02,minisathackLR_GL_SHR_2011.03.02,minisathackMiniSAT_2.2.0.agile.26,minisathackminisat_psm_2011.04.01,minisathackreferenceminisat_2.2.0,MPhaseSAT64,rcl_2011.04.01,RestartSAT_B95,SAT09referencesolverprecosat_236
11pipe_11_ooo.cnf,5000,2729.63,1941.55,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2430.48
11pipe_k.cnf,5000,588.88,485.36,767.63,681.09,5000,256.09,5000,5000,5000,1967.40,5000,465.68,1498.96
12pipe_bug4_q0used-assat04-723.cnf,204.43,38.82,33.65,147.56,34.89,31.59,29.92,40.79,10.62,5.72,10.90,52.07,23.16,33.81
12pipe_bug6_q0used-assat04-725.cnf,50.74,35.47,13.38,1.55,29.79,37.65,28.14,30.47,12.62,1.29,12.08,13.60,1.29,26.06
1dlx_c_iq57_a.cnf,983.26,523.08,895.01,835.14,544.18,943.97,605.29,1151.67,5000,1885.24,1238.10,5000,2810.70,1828.33
1dlx_c_iq60_a.cnf,1452.79,760.48,1311.69,1141.05,644.08,1278.36,760.63,1058.61,5000,2479.58,1735.38,5000,3522.62,2445.96
2dlx_ca_bp_f_liveness.cnf,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
6pipe_6_oooshuffled-assat03-413.cnf,70.88,16.29,29.69,19.52,17.29,48.01,15.80,39.65,49.33,52.79,80.85,264.84,19.08,32.44
9dlx_vliw_at_b_iq6used-assat04-347.cnf,1054.32,853.11,591.01,2377.67,2486.67,5000,296.76,5000,5000,5000,5000,5000,5000,5000
9dlx_vliw_at_b_iq7.cnf,1694.39,939.59,917.35,1904.12,2212.24,5000,392.91,5000,5000,5000,5000,5000,5000,4185.47
9dlx_vliw_at_b_iq8used-assat04-718.cnf,1527.71,1653.38,1550.26,5000,5000,5000,895.03,5000,5000,5000,2318.64,5000,5000,5000
9dlx_vliw_at_b_iq9used-assat04-719.cnf,2536.54,2019.06,2248.27,5000,5000,5000,1086.81,5000,5000,5000,2647.77,5000,5000,5000
9vliw_m_9stages_iq3_C1_bug5.cnf,4.83,40.68,41.70,44.15,48.67,38.74,209.84,43.39,9.65,18.66,109.72,19.93,38.87,190.60
9vliw_m_9stages_iq3_C1_bug6.cnf,5.02,48.14,67.33,6.64,70.32,47.41,143.48,38.87,12.78,14.35,140.59,21.51,77.22,117.27
aaai10-planning-ipc5-pathways-13-step17.cnf,663.32,603.53,235.18,2012.95,951.07,1669.58,2837.34,1595.49,1391.33,1887.30,954.53,1039.47,796.29,153.71
aaai10-planning-ipc5-pathways-17-step20.cnf,264.79,374.10,160.49,686.55,1243.81,419.56,1503.66,613.89,326.62,589.53,144.99,759.22,593.65,121.38
aaai10-planning-ipc5-pathways-17-step21.cnf,186.66,2058.98,517.76,4543.99,1501.19,5000,2240.82,2724.83,1344.63,576.63,55.75,5000,5000,98.99
aaai10-planning-ipc5-pipesworld-12-step15.cnf,114.58,140.99,147.99,412.47,345.61,292.95,252.35,444.91,324.35,315.82,48.81,290.31,188.33,63.45
aaai10-planning-ipc5-pipesworld-12-step16.cnf,4.01,42.91,44.87,112.51,29.06,31.94,18.82,5.10,110.41,335.29,17.51,90.85,13.33,39.41
aaai10-planning-ipc5-pipesworld-18-step15.cnf,3.90,6.61,19.22,11.48,12.65,9.26,9.29,11.04,9.49,10.39,13.85,20.50,7.39,35.15
aaai10-planning-ipc5-pipesworld-18-step16.cnf,39.86,33.37,54.88,615.68,149.72,34.89,63.84,64.25,318.95,490.08,69.38,592.34,57.07,75.20
aaai10-planning-ipc5-pipesworld-27-step13.cnf,21.15,30.32,62.49,88.23,107.10,45.23,39.62,69.91,72.29,86.23,36.98,47.65,36.14,100.81
aaai10-planning-ipc5-pipesworld-27-step14.cnf,8.15,20.77,135.61,101.27,21.13,31.09,27.62,92.34,16.74,27.79,49.63,93.73,51.02,139.85
aaai10-planning-ipc5-rovers-18-step11.cnf,4.00,4.90,5000,6.00,2.96,9.14,4.13,6.46,7.35,7.32,5000,6.05,11.84,224.60
aaai10-planning-ipc5-rovers-18-step12.cnf,0.20,0.30,25.09,0.29,0.35,0.28,0.27,0.34,0.68,0.21,3.89,0.78,0.28,1.58
aaai10-planning-ipc5-TPP-21-step11.cnf,698.12,972.39,811.26,5000,4678.55,5000,5000,5000,1628.05,5000,272.45,1752.27,4254.46,213.92
aaai10-planning-ipc5-TPP-30-step11.cnf,8.68,30.00,119.45,32.54,29.09,34.13,93.79,16.85,49.47,35.88,20.22,18.33,40.03,84.47
abb313GPIA-9-cused-assat04-317.cnf,5000,5000,1196.32,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,13.32
abb313GPIA-9-trused-assat04-321.cnf,0.25,2.03,2.97,0.15,1.18,1.10,1.28,1.09,1.29,0.07,9.54,108.70,0.30,1.05
ACG-10-10p0.cnf,35.57,31.72,30.67,68.14,42.07,35.43,32.54,27.93,42.75,54.83,51.09,31.78,50.53,54.27
