benchmark,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre.featuretime,vars.clauses.ratio,POSNEG.RATIO.CLAUSE.mean,POSNEG.RATIO.CLAUSE.coeff.variation,POSNEG.RATIO.CLAUSE.min,POSNEG.RATIO.CLAUSE.max,POSNEG.RATIO.CLAUSE.entropy,VCG.CLAUSE.mean,VCG.CLAUSE.coeff.variation,VCG.CLAUSE.min,VCG.CLAUSE.max,VCG.CLAUSE.entropy,UNARY,BINARY.,TRINARY.,Basic.featuretime,VCG.VAR.mean,VCG.VAR.coeff.variation,VCG.VAR.min,VCG.VAR.max,VCG.VAR.entropy,POSNEG.RATIO.VAR.mean,POSNEG.RATIO.VAR.stdev,POSNEG.RATIO.VAR.min,POSNEG.RATIO.VAR.max,POSNEG.RATIO.VAR.entropy,HORNY.VAR.mean,HORNY.VAR.coeff.variation,HORNY.VAR.min,HORNY.VAR.max,HORNY.VAR.entropy,horn.clauses.fraction,VG.mean,VG.coeff.variation,VG.min,VG.max,KLB.featuretime,CG.mean,CG.coeff.variation,CG.min,CG.max,CG.entropy,cluster.coeff.mean,cluster.coeff.coeff.variation,cluster.coeff.min,cluster.coeff.max,cluster.coeff.entropy,CG.featuretime
sat/10pipe_k.cnf,67300,3601247,59700,3573575,0.127303183,0.007743506,14.93,0.01670596,0.92953982,0.262691474,0,1,0.466758052,0.000048734,2.763610893,0.000033501,0.004237856,0.285584907,0,0.963308172,0.967793316,0.38,0.000048734,5.998872619,0.000000839,0.008971688,5.11607132,0.553506494,0.281952669,0,1,4.238310425,0.000032496,5.779349466,0,0.005692339,4.866662514,0.967679145,0.000073178,3.691631803,0.000000839,0.007460316,7.04,-1,0,-1,0,-512,-1,0,-1,0,0,58.02
sat/14pipe_q0_k.cnf,222845,7702617,125001,7497601,0.782745738,0.027344213,25.57,0.016672133,0.903883067,0.301556406,0,1,0.630079529,0.00002579,3.265882316,0.000016,0.003623971,0.463499697,0,0.928145016,0.938080994,0.79,0.00002579,4.071755825,0.0000008,0.003223831,5.133668248,0.518858033,0.356059232,0,0.989010989,3.81659059,0.000015086,3.142710049,0,0.001000053,4.967738898,0.937874795,0.000042637,2.64534794,0.000000934,0.002987222,29.04,-1,0,-1,0,-512,-1,0,-1,0,0,41.03
sat/16pipe_16_ooo.cnf,266498,19470237,239534,19405933,0.112568571,0.003313626,77.46,0.012343339,0.830765601,0.427099929,0,1,0.724357738,0.000012039,3.871427256,0.00000835,0.002734476,0.377064029,0,0.928175265,0.981337099,2.03,0.000012039,6.045312279,0.000000309,0.008357083,5.410892171,0.612851452,0.297187163,0,0.993920973,4.193238338,0.000008414,5.069250549,0.000000103,0.00414229,5.300917995,0.981168027,0.000020409,3.663981989,0.000000361,0.005093185,102.26,-1,0,-1,0,-512,-1,0,-1,0,0,234
sat/1dlx_c_iq57_a.cnf,569795,8562505,420833,8244707,0.353969389,0.0385457,37.66,0.051042808,0.741717475,0.551557432,0,1,1.124966384,0.000007893,2.292424842,0.000004752,0.000441981,0.748482474,0,0.864547279,0.909356269,0.98,0.000007893,5.060924662,0.000000849,0.003424743,3.557141366,0.308650252,0.277954399,0,0.967213115,3.026571577,0.000004489,4.353903054,0,0.001697089,3.330322089,0.912589374,0.000018194,3.70101731,0.000000606,0.00499472,281.2,-1,0,-1,0,-512,-1,0,-1,0,0,21.02
sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf,106013,1598301,83095,1545697,0.275804802,0.034032543,6.97,0.053758919,0.754045585,0.542410709,0,1,1.055596246,0.000037188,1.979033276,0.000024069,0.001504302,0.636772489,0,0.897002453,0.931595261,0.18,0.000037188,5.152579829,0.000004529,0.020273055,4.395879302,0.340793763,0.263478698,0,0.991336634,4.177608241,0.000022553,4.56197539,0.000000647,0.010566107,4.10606934,0.923113003,0.000068196,3.567933126,0.000003235,0.020984061,11.36,-1,0,-1,0,-512,-1,0,-1,0,0,26.59
sat/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf,371419,7170909,303312,6994286,0.224544364,0.02525247,51.76,0.043365685,0.77703085,0.513572629,0,1,0.959977493,0.000010214,2.320854888,0.000006594,0.000619824,0.546257741,0,0.918630579,0.941691261,0.81,0.000010214,8.032931946,0.000000715,0.011179411,4.510021692,0.345958662,0.261390396,0,1,4.25007225,0.000006233,7.715295761,0.000000143,0.006004902,4.198718243,0.936247388,0.00001952,5.29931536,0.000000715,0.015319362,147.29,-1,0,-1,0,-512,-1,0,-1,0,0,52.23
sat/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf,482093,9676386,394950,9444694,0.220643119,0.024531446,81.03,0.04181713,0.779550176,0.510860247,0,1,0.941830912,0.000007846,2.397525276,0.000005064,0.000516521,0.527264541,0,0.922678702,0.94379945,1.12,0.000007846,8.981840539,0.000000529,0.010108003,4.51634556,0.34662539,0.258347447,0,1,4.240077183,0.000004796,8.767802504,0.000000106,0.005463279,4.210399467,0.938893944,0.000015242,5.841024491,0.000000529,0.015960814,248.78,-1,0,-1,0,-512,-1,0,-1,0,0,86.77
sat/abb313GPIA-9-c.used-as.sat04-317.cnf,6228,484871,6212,479096,0.00257566,0.012053952,1.73,0.012966086,0.396513523,0.802125929,0,1,1.060484527,0.00127371,0.078277944,0.000321958,0.00128783,0.182359317,0,0.009716216,0.009791357,0.06,0.00127371,0.299402115,0.000002087,0.002842854,4.925636142,0.274702084,0.288655031,0.004032258,1,1.321704622,0.000003865,1.987830142,0.000002087,0.000183679,0.882730201,0.010375791,0.000576649,0.287836042,0.000002087,0.001266969,0.24,-1,0,-1,0,-512,-1,0,-1,0,0,20.03
sat/ablmulub16x4o.cnf,2958,8709,1543,6440,0.917044718,0.352329193,0.04,0.239596273,0.363429439,0.809823011,0,1,1.198510543,0.001857014,0.478380676,0.001296176,0.023979261,0.988481285,0,0.314440994,0.86568323,0.01,0.001857014,0.653982542,0.001242236,0.018322981,1.888006395,0.093211769,0.071601333,0,0.333333333,1.87471445,0.000802261,0.760608616,0.00015528,0.006677019,1.69329018,0.513975155,0.001461419,0.844371094,0.000776398,0.014596273,0.01,0.003221905,0.833164569,0.000931677,0.026242236,3.366622734,0.15739612,0.627987594,0.019407008,1,3.159532093,0.18
sat/ablmulub2x32o.cnf,5241,15432,2507,10919,1.09054647,0.413316238,0.1,0.22959978,0.353193328,0.868178335,0,1,1.242992534,0.001144337,0.635382384,0.000797766,0.025927403,1.039115974,0,0.346093965,0.833684403,0,0.001144337,0.946878566,0.000641084,0.026101291,1.878983098,0.060644898,0.063069653,0,0.294117647,1.714849235,0.000494229,1.182284496,0.000091583,0.017950362,1.700989791,0.52239216,0.00098276,1.300543725,0.000457917,0.024727539,0.03,0.00275871,1.24711695,0.000549501,0.030588882,3.590878571,0.152130782,0.667919283,0.006778149,1,3.278373247,0.65
