"InstanceName","abcdSAT_drup","BeansAndEggs","CHBR_glucose","CHBR_glucose_tuned","cmsat5_autotune2","cmsat5_main2","COMiniSatPSChandrasekharDRUP","GHackCOMSPS_DRUP","glucose","glucose_hack_kiel_newScript","Glucose_nbSat","glue_alt","glueminisat.2210.81.main","gulch","Lingelingbbcmain","MapleCMS","MapleCOMSPS_CHB_DRUP","MapleCOMSPS_DRUP","MapleCOMSPS_LRB_DRUP","MapleGlucose","Riss6","Splatz06vmain","tb_glucose","tc_glucose","YALSAT03r"
"sat/10pipe_k.cnf",2131.43,1133.17,810.79,826.41,909.29,5000,511.55,425.39,376.13,5000,595.09,2599.83,1041.62,1966.93,305.44,445.18,381.98,2734.95376041138,395.19,3506.67,5000,216.17,994.16,1367.79,5000
"sat/14pipe_q0_k.cnf",1450.32,1325.43,1073.4,1083.98,3617.84,5000,1263.22,1203.97,977.66,1517.51,1513.41,2887.69,1112.85,1598.93,669.34,913.15,1103.54,3176.22,1878.24,5000,5000,384.998940636925,1460.8,1485.99,5000
"sat/16pipe_16_ooo.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/1dlx_c_iq57_a.cnf",1238.45,1040.75,1016.72,1002,481.8,523.4,799.44,799.18,824.99,932.22,913.14,1679.93,1287.24519306811,1971.94,1233.63,897.17,831.99,2969.16974161057,736.99,3074.36,5000,618.83,992.4,900.12,5000
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf",179.53,239.24,188.26,188.53,223.78,233.57,243.32,217.73,125.06,262.6,241.62,573.56,267.67,215.14,191.51,569.93,169.5,2615.54,174.31,3294.14,2886.3,115.13,162.84,171.64,5000
"sat/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf",1714.98,1241.11,1143.46,1177.06,1061.34,1113.55,1529.41,1377.08,1005.01,1548.03,1601.14,3502.58,1669.31,1399.9,1304.36,2969.7,1361.06,3123.2169347715,1385.71,5000,5000,768.02,1380.49,1394.45,5000
"sat/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf",2266.3,1812.27,1890.79581251645,1968.03,1638.64,1787.97,2525.98,2181.88943947632,1386.52,2252.6,2229.11,5000,2184.43,1861.35,1759.47,4260.11,2059.12,3594.23,2336.36,5000,5000,1137.16,1855.97,1896.38,5000
"sat/abb313GPIA-9-c.used-as.sat04-317.cnf",5000,5000,5000,5000,5000,5000,315.14,236.84,5000,5000,5000,5000,5000,5000,5000,5000,5000,579.25,288.95,5000,5000,5000,5000,5000,300.16
"sat/ablmulub16x4o.cnf",246.16,389.23,320.657829030689,517.54,452.91,443.47,310.18,311.27,522.34,535.39,572.06,565.47,498.3,353.64,415.25,274.11,457.82,193.93,359.304347723742,190.92,2816.88,695.83,472.25,295.31,5000
"sat/ablmulub2x32o.cnf",293.46,1675.89,693.44,1334.97,721.68,692.39,986.28,1346.53,1528.89,1642.93,1581.57,2059.13,1614.13936086604,1667.6,551,466.06,813.994345528745,333.935897859914,812.929272146702,340.15,5000,2331.3,1632.39,1059.07,5000
"sat/ablmulub8x16o.cnf",3584.45,3295.33,5000,4751.76,5000,5000,3122.37,4317.5,5005.01287504045,4101.63322991015,5000,5000,5000,5000,2493.49,3612.97,5000,1269.58766535031,2333.73,1399.57517168537,5000,5000,5000,3470.54,5000
"sat/ACG-20-10p0.cnf",919.86,2804.57,1245.17,1722.06,946.13,1025.28,1175.92,4335.89,2019.69,2575.98,1521.64,2573.16,750.64,3706.05,636.38,1222.7,817.42,601.24,514.02,2295.1,5000,829.7,2211.1,2219.14,5000
"sat/ACG-20-5p1.cnf",252.46,338.93,465.25,455.99,434.88,432.63,335.65,683.55,330.71,266.38,323.8,447.1,201.16,329.61,324.9,505.92,132.24,182.81,200.28,672.98,2022.54,313.98,451.82,419.16,5000
"sat/add_01_1000_4.smt2-cvc4.cnf",7.4,11.25,8.12,8.12,13.26,13.15,9.89,6.51,7.94,7.42,8.31,7.09,9.42,15.38,10.7,23.5788330258562,9.84,19.98,12.94,19.91,85.25,12.31,7.17,7.8,5000
"sat/aes_32_3_keyfind_2.cnf",895.44,2588.46,1340.95,1345.35,2890.04,2777.79,35.8,2444.81,274.56,1408.84,5000,1420.01,867.37,718.78,3413.02,137.95,99.87,247.35,90.63,803.198026606294,2449.96,2723.79439381997,2053.76,390.73,5000
"sat/aes_32_5_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/aes_64_2_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/aes_64_3_keyfind_1.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/ak016modbtsimpbisc.cnf",5000,3532.77,5000,5000,3818.01,3576.06,2599.26,2974.91,2229.23,2397.96,1922.9,1259.77,5000,5000,5000,5000,3503.55,5000,2189.2617299413,5000,5000,460.88,2558.79,5000,5000
"sat/ak032diagodiagoisc.cnf",5000,5000,5000,5000,1210.99,1205.31,5000,5000,2505.43,1889.88,5000,445.52,1496.77,4117.83,34.41,5000,5000,5000,5000,5000,5000,85.23,5000,5000,5000
