"InstanceName","abcdSAT_drup","BeansAndEggs","CHBR_glucose","CHBR_glucose_tuned","cmsat5_autotune2","cmsat5_main2","COMiniSatPSChandrasekharDRUP","GHackCOMSPS_DRUP","glucose","glucose_hack_kiel_newScript","Glucose_nbSat","glue_alt","glueminisat.2210.81.main","gulch","Lingelingbbcmain","MapleCMS","MapleCOMSPS_CHB_DRUP","MapleCOMSPS_DRUP","MapleCOMSPS_LRB_DRUP","MapleGlucose","Riss6","Splatz06vmain","tb_glucose","tc_glucose","YALSAT03r"
"sat/10pipe_k.cnf",2117.458,1086.064,805.451,811.751,893.127,5000,504.472,409.503,363.648,5000,567.693,2528.193,1014.734,1921.515,302.789,439.029,380.475,2737.997,382.025,3450.371,5000,213.438,966.248,1321.272,5000
"sat/14pipe_q0_k.cnf",1353.541,1245.099,988.774,991.17,3371.259,5000,1211.89,1156.538,875.22,1395.559,1319.603,2625.02,986.081,1368.295,625.206,896.833,966.337,3158.47,1688.746,5000,5000,387.383,1326.58,1296.571,5000
"sat/16pipe_16_ooo.cnf",5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
"sat/1dlx_c_iq57_a.cnf",1132.884,926.334,817.15,868.755,432.95,463.495,646.822,723.798,721.523,746.334,731.171,1660.898,1292.226,1498.559,1087.685,757.067,718.498,2973.199,659.59,3049.952,4521.383,510.161,845.57,866.957,5000
"sat/9dlx_vliw_at_b_iq4.used-as.sat04-345.cnf",168.497,223.602,177.025,178.935,218.858,233.212,233.295,210.192,119.349,251.307,221.26,520.626,247.497,201.317,190.618,544.631,164.502,2612.763,173.613,3291.044,2849.74,104.143,153.616,157.603,5000
"sat/9dlx_vliw_at_b_iq8.used-as.sat04-718.cnf",1530.17,1131.599,992.814,1011.914,1019.132,1089.948,1513.891,1186.073,903.479,1475.692,1368.726,2925.264,1392.855,1283.792,1251.374,2577.003,1215.582,3127.615,1246.989,5000,5000,695.201,1218.621,1294.012,5000
"sat/9dlx_vliw_at_b_iq9.used-as.sat04-719.cnf",1955.092,1734.504,1894.989,1948.588,1533.183,1659.767,2221.31,2183.7,1282.388,1938.757,1914.172,5000,2044.56,1712.479,1475.479,3823.19,1884.427,3583.006,1979.961,4837.244,5000,1017.303,1698.899,1770.773,5000
"sat/abb313GPIA-9-c.used-as.sat04-317.cnf",5000,5000,5000,5000,5000,5000,308.862,232.172,5000,5000,5000,5000,5000,5000,5000,5000,5000,550.65,274.651,5000,5000,5000,5000,5000,300.1
"sat/ablmulub16x4o.cnf",245.156,383.658,323.836,499.406,443.161,437.368,310.714,306.635,510.81,523.474,575.948,555.477,488.943,347.766,417.255,272.052,457.145,193.413,362.05,190.801,2793.949,689.794,466.411,291.579,5000
"sat/ablmulub2x32o.cnf",293.868,1634.914,685.123,1319.514,718.241,691.465,984.924,1313.033,1504.884,1591.347,1568.359,2044.214,1618.911,1622.629,544.52,464.991,818.176,337.334,815.439,339.661,5000,2295.458,1622.291,1022.607,5000
