"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"nurikabe_p06.pddl","symbolic.bidirectional",1.2,47.0476265060241,177.195095420669,1.25,0.74,0,0,0,5,"pred"
"nurikabe_p06.pddl","Delfi2",12.58,82.8475913654618,290.534481624562,12.88,0.74,0,0,0,5,"pred"
"nurikabe_p06.pddl","blind",0.74,111.629887048193,385.627265315925,0.75,0.74,0,0,0,5,"pred"
"nurikabe_p06.pddl","Delfi1",3.14,146.819718875502,413.147143521285,3.33,0.74,0,0,0,5,"pred"
"nurikabe_p06.pddl","DecStar",4.29,156.723193775101,406.694209029858,5.05,0.74,0,0,0,5,"pred"
"nurikabe_p06.pddl","Metis2",0.79,159.358805220884,485.601221003007,0.81,0.74,0,0,0,5,"pred"
"nurikabe_p06.pddl","Metis1",0.78,169.572527108434,499.065540640607,0.77,0.74,0,0,0,5,"pred"
"nurikabe_p06.pddl","FDMS1",2.6,227.858058232932,521.372572898379,2.68,0.74,0,0,0,5,"pred"
"nurikabe_p06.pddl","Scorpion",201.13,325.206943775101,322.113313351556,200.97,0.74,0,0,0,5,"pred"
"nurikabe_p06.pddl","Planning.PDBs",2.08,373.519662650602,476.29099697286,2.1,0.74,0,0,0,5,"pred"
