"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"organic-synthesis-split_p03.pddl","Delfi1",60.64,411.064578431373,572.052902644121,62.81,36.51,0,0,0,5,"pred"
"organic-synthesis-split_p03.pddl","symbolic.bidirectional",57.81,421.863586452763,603.92753033035,47.8,36.51,0,0,0,5,"pred"
"organic-synthesis-split_p03.pddl","Complementary1",51.95,511.798747771836,603.468615117566,49.91,36.51,0,0,0,5,"pred"
"organic-synthesis-split_p03.pddl","Metis1",48.01,519.203442067736,607.960729481752,50.03,36.51,0,0,0,5,"pred"
"organic-synthesis-split_p03.pddl","Complementary2",54.22,561.327615864528,639.863228062539,51.69,36.51,0,0,0,5,"pred"
"organic-synthesis-split_p03.pddl","Planning.PDBs",52.18,591.041353832442,680.856493320638,51.54,36.51,0,0,0,5,"pred"
"organic-synthesis-split_p03.pddl","blind",36.51,600.106676979883,675.909390391029,41.39,36.51,0,0,0,5,"pred"
"organic-synthesis-split_p03.pddl","Metis2",54.49,614.553411764706,641.618581204348,44.48,36.51,0,0,0,5,"pred"
"organic-synthesis-split_p03.pddl","DecStar",46.55,638.022666412019,661.04748985999,46.42,36.51,0,0,0,5,"pred"
"organic-synthesis-split_p03.pddl","FDMS2",296.39,654.587858450818,674.60511856029,319.64,36.51,0,0,0,5,"pred"
