"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"settlers_p02.pddl","Delfi1",106.28,101.851281609195,165.159468622507,105.16,24.17,0,0,0,5,"pred"
"settlers_p02.pddl","Metis1",104.29,125.334264367816,229.464547758076,102.44,24.17,0,0,0,5,"pred"
"settlers_p02.pddl","blind",24.17,147.403689655172,404.865604765545,24.79,24.17,0,0,0,5,"pred"
"settlers_p02.pddl","symbolic.bidirectional",204.81,199.774068965517,165.014452037809,234.08,24.17,0,0,0,5,"pred"
"settlers_p02.pddl","Delfi2",90.87,206.595275862069,433.47493196904,92.99,24.17,0,0,0,5,"pred"
"settlers_p02.pddl","Scorpion",208.28,374.686344958203,431.488811692521,208.56,24.17,0,0,0,5,"pred"
"settlers_p02.pddl","FDMS1",274.66,433.366942528736,337.775729864634,302.65,24.17,0,0,0,5,"pred"
"settlers_p02.pddl","DecStar",618.41,740.529784482759,367.513433245083,620.16,24.17,0,0,0,5,"pred"
"settlers_p02.pddl","Metis2",1800,1800,0,1800,24.17,0,0,0,5,"pred"
"settlers_p02.pddl","Symple.1",1800,1800,0,1800,24.17,0,0,0,5,"pred"
