"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"agricola_p07.pddl","symbolic.bidirectional",68.95,275.435691666667,406.598402437009,76.16,68.95,0,0,0,5,"pred"
"agricola_p07.pddl","Delfi1",74.26,293.099425,409.869199560238,78.1,68.95,0,0,0,5,"pred"
"agricola_p07.pddl","Delfi2",102.02,480.883533333333,449.111176056943,110.22,68.95,0,0,0,5,"pred"
"agricola_p07.pddl","FDMS1",758.5,897.5325,713.628076004175,1800,68.95,0,0,0,5,"pred"
"agricola_p07.pddl","FDMS2",265.16,994.880033333333,667.247549778925,278.69,68.95,0,0,0,5,"pred"
"agricola_p07.pddl","Complementary1",244.27,996.97365,524.912684862322,1800,68.95,0,0,0,5,"pred"
"agricola_p07.pddl","Planning.PDBs",919.29,1246.68315833333,569.869178625993,1800,68.95,0,0,0,5,"pred"
"agricola_p07.pddl","Complementary2",919.67,1333.05405,668.97339663071,922.66,68.95,0,0,0,5,"pred"
"agricola_p07.pddl","blind",1800,1604.18446666667,468.140877759059,1800,68.95,0,0,0,5,"pred"
"agricola_p07.pddl","Metis1",1800,1800,0,1800,68.95,0,0,0,5,"pred"
