"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"caldera-split_p02.pddl","Delfi1",5.59,7.76467361111114,6.60047125537981,6.09,1.44,0,0,0,5,"pred"
"caldera-split_p02.pddl","Metis2",1.88,16.3499502314815,87.9758171211356,1.51,1.44,0,0,0,5,"pred"
"caldera-split_p02.pddl","Delfi2",4.52,29.99778125,155.540062896095,4.76,1.44,0,0,0,5,"pred"
"caldera-split_p02.pddl","symbolic.bidirectional",2.41,42.1178020833333,184.545726858203,3.25,1.44,0,0,0,5,"pred"
"caldera-split_p02.pddl","Complementary2",3.78,46.1281041666667,165.10320660648,3.95,1.44,0,0,0,5,"pred"
"caldera-split_p02.pddl","FDMS1",22.63,46.2701666666667,115.266653343475,24.38,1.44,0,0,0,5,"pred"
"caldera-split_p02.pddl","Symple.2",9.92,54.1330833333333,124.441259056958,11.77,1.44,0,0,0,5,"pred"
"caldera-split_p02.pddl","blind",2.89,60.8738020833333,276.149974035865,1.76,1.44,0,0,0,5,"pred"
"caldera-split_p02.pddl","Complementary1",3.64,69.8414479166667,290.57770400635,4.43,1.44,0,0,0,5,"pred"
"caldera-split_p02.pddl","FDMS2",15.87,73.8373611111111,223.283613602164,13.78,1.44,0,0,0,5,"pred"
