"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"snake_p16.pddl","Delfi2",594.68,814.490568965517,379.064927031641,1800,594.68,0,0,0,5,"pred"
"snake_p16.pddl","blind",1185.84,1091.87320689655,834.043886735729,1800,594.68,0,0,0,5,"pred"
"snake_p16.pddl","Scorpion",1012.97,1107.21881034483,671.053870901084,1023.06,594.68,0,0,0,5,"pred"
"snake_p16.pddl","Complementary2",843.1,1197.85921264368,544.303196252978,1800,594.68,0,0,0,5,"pred"
"snake_p16.pddl","Delfi1",1800,1229.96077586207,496.866761041622,1800,594.68,0,0,0,5,"pred"
"snake_p16.pddl","Complementary1",1800,1232.88274137931,534.731162982585,1800,594.68,0,0,0,5,"pred"
"snake_p16.pddl","Planning.PDBs",1729.21,1392.45648275862,427.972024280688,1800,594.68,0,0,0,5,"pred"
"snake_p16.pddl","DecStar",1800,1422.76579885057,541.125415346006,1800,594.68,0,0,0,5,"pred"
"snake_p16.pddl","FDMS2",1800,1496.26336781609,416.2931531385,1800,594.68,0,0,0,5,"pred"
"snake_p16.pddl","Symple.1",1800,1800,0,1800,594.68,0,0,0,5,"pred"
