"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"data-network_p01.pddl","symbolic.bidirectional",0.71,43.7774171122995,207.311699853446,0.73,0.33,0,0,0,5,"pred"
"data-network_p01.pddl","Delfi1",2.2,59.3722263814616,254.518616095899,2.23,0.33,0,0,0,5,"pred"
"data-network_p01.pddl","DecStar",0.33,93.7715204991087,319.515564579048,0.37,0.33,0,0,0,5,"pred"
"data-network_p01.pddl","Delfi2",5.11,100.322162210339,362.661720694731,5.72,0.33,0,0,0,5,"pred"
"data-network_p01.pddl","Complementary1",1.65,148.825432263815,310.534625434484,1.7,0.33,0,0,0,5,"pred"
"data-network_p01.pddl","Metis2",0.36,150.448626559715,435.984436418566,0.39,0.33,0,0,0,5,"pred"
"data-network_p01.pddl","FDMS1",4.2,167.930137254902,451.406266175287,5.18,0.33,0,0,0,5,"pred"
"data-network_p01.pddl","Complementary2",2.3,169.813765597148,297.014065606755,2.27,0.33,0,0,0,5,"pred"
"data-network_p01.pddl","Planning.PDBs",2.31,173.899483065953,329.411145324773,2.26,0.33,0,0,0,5,"pred"
"data-network_p01.pddl","FDMS2",15.04,201.010300356506,483.515818792134,14.92,0.33,0,0,0,5,"pred"
