"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"organic-synthesis_p06.pddl","blind",1800,1687.04746327684,383.301709109768,1800,1800,0,0,0,5,"pred"
"organic-synthesis_p06.pddl","Delfi2",1800,1687.06385506302,360.191086758321,1800,1800,0,0,0,5,"pred"
"organic-synthesis_p06.pddl","Symple.2",1800,1714.14797834275,305.806469343299,1800,1800,0,0,0,5,"pred"
"organic-synthesis_p06.pddl","Metis1",1800,1722.01747662852,307.136756605797,1800,1800,0,0,0,5,"pred"
"organic-synthesis_p06.pddl","DecStar",1800,1722.82624399025,296.000754298329,1800,1800,0,0,0,5,"pred"
"organic-synthesis_p06.pddl","Planning.PDBs",1800,1726.75088349598,277.463980943859,1800,1800,0,0,0,5,"pred"
"organic-synthesis_p06.pddl","Metis2",1800,1727.13848870056,272.776321727462,1800,1800,0,0,0,5,"pred"
"organic-synthesis_p06.pddl","FDMS2",1800,1738.74488377724,240.097062798845,1800,1800,0,0,0,5,"pred"
"organic-synthesis_p06.pddl","Symple.1",1800,1746.51917419962,244.834088580606,1800,1800,0,0,0,5,"pred"
"organic-synthesis_p06.pddl","Scorpion",1800,1748.3010720339,236.19745644994,1800,1800,0,0,0,5,"pred"
