"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"snake_p01.pddl","blind",3.72,35.4234027777778,68.341915800463,3.83,3.72,0,0,0,5,"pred"
"snake_p01.pddl","DecStar",82.12,278.659371527778,411.765161956723,80.4,3.72,0,0,0,5,"pred"
"snake_p01.pddl","Scorpion",316.26,336.285677083333,41.3252474475752,316.99,3.72,0,0,0,5,"pred"
"snake_p01.pddl","FDMS1",389.79,500.221284722222,245.381054340887,417.92,3.72,0,0,0,5,"pred"
"snake_p01.pddl","Delfi1",746.87,558.824822916667,294.993756591632,690.34,3.72,0,0,0,5,"pred"
"snake_p01.pddl","Metis1",86.76,677.169694444444,737.567642823314,89.77,3.72,0,0,0,5,"pred"
"snake_p01.pddl","Complementary1",705.15,691.883503472222,285.800486582039,1800,3.72,0,0,0,5,"pred"
"snake_p01.pddl","symbolic.bidirectional",175.51,795.1540625,830.123867914564,192.03,3.72,0,0,0,5,"pred"
"snake_p01.pddl","Complementary2",632,797.030541666667,171.217618712647,1800,3.72,0,0,0,5,"pred"
"snake_p01.pddl","Metis2",82.72,818.823833333333,761.399661739172,83.01,3.72,0,0,0,5,"pred"
