"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"caldera-split_p06.pddl","Metis2",16.03,691.288206773619,806.446571768656,18.02,8.51,0,0,0,0,"pred"
"caldera-split_p06.pddl","Metis1",15.17,727.618884135472,833.842842991897,15.07,8.51,0,0,0,0,"pred"
"caldera-split_p06.pddl","Delfi2",18.71,787.74642513369,776.596015654089,18.85,8.51,0,0,0,0,"pred"
"caldera-split_p06.pddl","symbolic.bidirectional",8.51,816.738612299465,795.939620709898,9.34,8.51,0,0,0,0,"pred"
"caldera-split_p06.pddl","Complementary1",53.66,880.416570409982,732.380944017453,64.95,8.51,0,0,0,0,"pred"
"caldera-split_p06.pddl","Delfi1",15.74,881.957800356506,812.086710718005,15.75,8.51,0,0,0,0,"pred"
"caldera-split_p06.pddl","Planning.PDBs",77.86,896.790818181818,820.580972964303,95.38,8.51,0,0,0,0,"pred"
"caldera-split_p06.pddl","Complementary2",78.3,945.490846702317,836.660293904964,95.15,8.51,0,0,0,0,"pred"
"caldera-split_p06.pddl","blind",36.42,1040.38827272727,808.748876800951,36.49,8.51,0,0,0,0,"pred"
"caldera-split_p06.pddl","FDMS2",910.37,1066.61447504456,441.225251043409,908.45,8.51,0,0,0,0,"pred"
