"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"caldera_p04.pddl","Delfi1",1.4,4.52312389380533,17.1003054506736,1.5,0.29,0,0,0,0,"pred"
"caldera_p04.pddl","symbolic.bidirectional",1.09,7.95527876106196,43.3234371872601,1.1,0.29,0,0,0,0,"pred"
"caldera_p04.pddl","blind",0.29,8.76812684365783,74.2287723273919,0.3,0.29,0,0,0,0,"pred"
"caldera_p04.pddl","FDMS1",1.27,16.3607522123894,33.4153592522941,1.29,0.29,0,0,0,0,"pred"
"caldera_p04.pddl","Metis2",0.33,16.703628318584,169.263544776382,0.33,0.29,0,0,0,0,"pred"
"caldera_p04.pddl","Complementary2",1.8,16.800889380531,93.8302545779479,1.81,0.29,0,0,0,0,"pred"
"caldera_p04.pddl","Delfi2",2.82,18.0079424778761,74.9667345211247,2.85,0.29,0,0,0,0,"pred"
"caldera_p04.pddl","Complementary1",2.04,25.1779734513275,171.129430329636,2.06,0.29,0,0,0,0,"pred"
"caldera_p04.pddl","Metis1",0.33,25.9799483775811,196.779250210943,0.33,0.29,0,0,0,0,"pred"
"caldera_p04.pddl","FDMS2",2.11,29.8401666666666,67.6194057525345,2.12,0.29,0,0,0,0,"pred"
