"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"data-network_p10.pddl","symbolic.bidirectional",5.7,54.5361770833333,258.246703465439,1800,3.4,0,0,0,0,"pred"
"data-network_p10.pddl","Delfi2",3.4,54.7854756944445,257.958608430394,3.58,3.4,0,0,0,0,"pred"
"data-network_p10.pddl","Delfi1",7.11,88.0281284722222,292.812288019602,7.89,3.4,0,0,0,0,"pred"
"data-network_p10.pddl","DecStar",6.42,170.730394675926,486.324460476811,6.26,3.4,0,0,0,0,"pred"
"data-network_p10.pddl","Metis2",22.31,233.345586805555,564.329376727158,21.22,3.4,0,0,0,0,"pred"
"data-network_p10.pddl","Complementary1",216.03,262.688211805556,346.997225730095,255.76,3.4,0,0,0,0,"pred"
"data-network_p10.pddl","Scorpion",206.02,317.3771875,282.359290221352,205.53,3.4,0,0,0,0,"pred"
"data-network_p10.pddl","FDMS1",20.12,347.173486111111,653.533201989446,23.23,3.4,0,0,0,0,"pred"
"data-network_p10.pddl","Planning.PDBs",455.45,347.281826388889,423.343599347272,579.17,3.4,0,0,0,0,"pred"
"data-network_p10.pddl","Metis1",21.25,432.787760416667,751.136825446031,20.8,3.4,0,0,0,0,"pred"
