"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"nurikabe_p08.pddl","blind",1.81,110.271732931727,395.772686883772,1.84,1.81,0,0,0,0,"pred"
"nurikabe_p08.pddl","Delfi2",25.09,137.06250502008,366.059652807974,29.1,1.81,0,0,0,0,"pred"
"nurikabe_p08.pddl","Delfi1",3.05,177.113569277108,445.366114959362,3.1,1.81,0,0,0,0,"pred"
"nurikabe_p08.pddl","symbolic.bidirectional",2.78,230.250700803213,499.369753993066,2.96,1.81,0,0,0,0,"pred"
"nurikabe_p08.pddl","DecStar",6.61,236.557107429719,471.050424169769,7.47,1.81,0,0,0,0,"pred"
"nurikabe_p08.pddl","Metis2",2.05,253.239941767068,577.740474565986,2.04,1.81,0,0,0,0,"pred"
"nurikabe_p08.pddl","Metis1",1.96,278.962046184739,625.755994865233,1.97,1.81,0,0,0,0,"pred"
"nurikabe_p08.pddl","FDMS1",3.25,307.052267068273,555.660123834649,3.31,1.81,0,0,0,0,"pred"
"nurikabe_p08.pddl","Scorpion",201.75,387.843715863454,437.137349176644,201.78,1.81,0,0,0,0,"pred"
"nurikabe_p08.pddl","Complementary1",6.92,508.208537148594,626.491885592295,7.53,1.81,0,0,0,0,"pred"
