"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"organic-synthesis-split_p01.pddl","symbolic.bidirectional",33.91,144.046215277778,399.995420019575,42.08,33.91,0,0,0,0,"pred"
"organic-synthesis-split_p01.pddl","Complementary2",36.51,156.616902777778,327.049539527645,36.66,33.91,0,0,0,0,"pred"
"organic-synthesis-split_p01.pddl","Metis2",36.41,174.180885416667,405.910196269718,36.26,33.91,0,0,0,0,"pred"
"organic-synthesis-split_p01.pddl","Metis1",36.77,176.200798611111,454.634948074102,34.25,33.91,0,0,0,0,"pred"
"organic-synthesis-split_p01.pddl","Delfi1",42.27,187.313670138889,456.890786045658,40.58,33.91,0,0,0,0,"pred"
"organic-synthesis-split_p01.pddl","blind",43.05,203.314868055556,501.047479891397,45.72,33.91,0,0,0,0,"pred"
"organic-synthesis-split_p01.pddl","Planning.PDBs",38.67,210.001576388889,465.512306394823,42.29,33.91,0,0,0,0,"pred"
"organic-synthesis-split_p01.pddl","DecStar",42.95,285.4266875,591.367423594028,42.67,33.91,0,0,0,0,"pred"
"organic-synthesis-split_p01.pddl","FDMS1",38.22,300.926123421717,559.196957461855,39.1,33.91,0,0,0,0,"pred"
"organic-synthesis-split_p01.pddl","Complementary1",37.88,372.301552083333,607.090415773339,38.95,33.91,0,0,0,0,"pred"
