"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"caldera_p06.pddl","Metis2",2.52,43.5303993055556,138.927555656964,2.55,2.02,1,"2.55"
"caldera_p06.pddl","Metis1",2.39,136.674659722222,401.596129464524,2.43,2.02,2,"2.43"
"caldera_p06.pddl","Delfi1",3.46,143.871298611111,413.389936572712,3.62,2.02,3,"3.62"
"caldera_p06.pddl","FDMS1",118.5,455.378381944444,510.694045382372,129.72,2.02,4,"129.72"
"caldera_p06.pddl","Scorpion",210.74,494.622267361111,367.222483919734,209.1,2.02,5,"209.1"
"caldera_p06.pddl","Complementary2",19.61,662.298989583333,606.220159588247,23.8,2.02,6,"23.8"
"caldera_p06.pddl","Delfi2",199.05,682.820725694444,740.405017216282,203.45,2.02,7,"203.45"
"caldera_p06.pddl","FDMS2",340.24,692.789399305556,514.413920286747,375.57,2.02,8,"375.57"
"caldera_p06.pddl","Planning.PDBs",19.68,717.035277777778,568.490636372003,22.41,2.02,9,"22.41"
"caldera_p06.pddl","symbolic.bidirectional",8.04,751.55259375,812.783346886447,9.26,2.02,10,"9.26"
"caldera_p06.pddl","blind",2.02,768.037149305556,769.750817962106,2.05,2.02,1,"Inf"
"caldera_p06.pddl","Complementary1",9.79,862.11618844697,633.460488983658,10.84,2.02,2,"Inf"
"caldera_p06.pddl","DecStar",586.64,954.023555555556,814.101258185866,140.26,2.02,3,"Inf"
"caldera_p06.pddl","Symple.1",185.92,1321.62555208333,569.141937438993,229.51,2.02,4,"Inf"
"caldera_p06.pddl","Symple.2",185.88,1353.37528472222,584.334783724444,226.42,2.02,5,"Inf"
