"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"spider_p08.pddl","blind",2.11,102.465266666667,400.386152889941,2.22,2.11,1,"2.22"
"spider_p08.pddl","DecStar",13.58,106.6734,399.008037492671,13.3,2.11,2,"13.3"
"spider_p08.pddl","Metis1",12.77,114.657391666667,400.287225777858,12.88,2.11,3,"12.88"
"spider_p08.pddl","Metis2",13.4,117.106233333333,399.873077737856,13.39,2.11,4,"13.39"
"spider_p08.pddl","Delfi2",15.65,169.45395,401.265824274845,30.46,2.11,5,"30.46"
"spider_p08.pddl","Scorpion",218.47,229.144333333333,16.8359579947901,218.47,2.11,6,"218.47"
"spider_p08.pddl","symbolic.bidirectional",73.37,262.799458333333,530.148088757346,89.17,2.11,7,"89.17"
"spider_p08.pddl","Delfi1",919.19,801.208258333333,237.673316051802,957.09,2.11,8,"Inf"
"spider_p08.pddl","FDMS1",921.21,880.215891666666,354.334125870915,926.25,2.11,9,"Inf"
"spider_p08.pddl","FDMS2",919.77,936.139016666667,387.99682073792,915.83,2.11,1,"Inf"
"spider_p08.pddl","Planning.PDBs",926.27,945.150391666666,335.05155929485,932.42,2.11,2,"Inf"
"spider_p08.pddl","Complementary2",935.62,945.190908333333,251.553347852631,939,2.11,3,"Inf"
"spider_p08.pddl","Complementary1",953.88,1048.78100833333,359.793523147036,1064.58,2.11,4,"Inf"
"spider_p08.pddl","Symple.1",1800,1129.92935833333,512.069696234721,1800,2.11,5,"Inf"
"spider_p08.pddl","Symple.2",1800,1194.95816666667,591.513549039608,1800,2.11,6,"Inf"
