"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"caldera_p06.pddl","Metis2",2.52,43.5303993055556,138.927555656964,2.53,2.02,1,"2.53"
"caldera_p06.pddl","Metis1",2.39,136.674659722222,401.596129464524,2.46,2.02,2,"2.46"
"caldera_p06.pddl","Delfi1",3.46,143.871298611111,413.389936572712,3.56,2.02,3,"3.56"
"caldera_p06.pddl","Scorpion",210.74,494.622267361111,367.222483919734,211.34,2.02,4,"211.34"
"caldera_p06.pddl","FDMS1",118.5,455.378381944444,510.694045382372,121.08,2.02,5,"121.08"
"caldera_p06.pddl","FDMS2",340.24,692.789399305556,514.413920286747,347.21,2.02,6,"347.21"
"caldera_p06.pddl","Complementary2",19.61,662.298989583333,606.220159588247,22.45,2.02,7,"22.45"
"caldera_p06.pddl","Planning.PDBs",19.68,717.035277777778,568.490636372003,22.48,2.02,1,"Inf"
"caldera_p06.pddl","Delfi2",199.05,682.820725694444,740.405017216282,204.73,2.02,2,"Inf"
"caldera_p06.pddl","Complementary1",9.79,862.11618844697,633.460488983658,10.84,2.02,3,"Inf"
"caldera_p06.pddl","blind",2.02,768.037149305556,769.750817962106,2.08,2.02,4,"Inf"
"caldera_p06.pddl","symbolic.bidirectional",8.04,751.55259375,812.783346886447,9.12,2.02,5,"Inf"
"caldera_p06.pddl","DecStar",586.64,954.023555555556,814.101258185866,374.92,2.02,6,"Inf"
"caldera_p06.pddl","Symple.1",185.92,1321.62555208333,569.141937438993,218.31,2.02,7,"Inf"
"caldera_p06.pddl","Symple.2",185.88,1353.37528472222,584.334783724444,218.41,2.02,1,"Inf"
