"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"caldera-split_p03.pddl","Metis1",1.53,5.68695721925136,27.6193380451167,1.58,1.53,1,"1.58"
"caldera-split_p03.pddl","Delfi1",4.86,38.649885026738,181.418067010142,4.8,1.53,2,"4.8"
"caldera-split_p03.pddl","FDMS1",9.5,42.9067495543672,190.626312424975,12.1,1.53,3,"12.1"
"caldera-split_p03.pddl","Metis2",1.6,33.0946399286988,205.934700331998,1.73,1.53,4,"1.73"
"caldera-split_p03.pddl","symbolic.bidirectional",2.27,38.5490169340463,207.022926169894,2.51,1.53,5,"2.51"
"caldera-split_p03.pddl","Delfi2",12.28,41.2619073083779,212.770388507939,12.45,1.53,6,"12.45"
"caldera-split_p03.pddl","DecStar",60.35,63.0751987522281,196.558408827427,94.58,1.53,7,"94.58"
"caldera-split_p03.pddl","Planning.PDBs",3.29,45.3030347593583,229.616785782711,3.72,1.53,8,"3.72"
"caldera-split_p03.pddl","FDMS2",8.42,57.1683529411765,227.149257894334,9.42,1.53,9,"9.42"
"caldera-split_p03.pddl","blind",1.68,47.7644607843138,250.053059681811,2.09,1.53,1,"Inf"
"caldera-split_p03.pddl","Complementary1",3.41,53.6117602495543,249.136101776365,3.65,1.53,2,"Inf"
"caldera-split_p03.pddl","Symple.2",7.52,73.7007450980392,265.775903648362,10.1,1.53,3,"Inf"
"caldera-split_p03.pddl","Symple.1",7.96,89.795495543672,285.709343570227,9.81,1.53,4,"Inf"
"caldera-split_p03.pddl","Complementary2",3.4,78.8174340463457,302.754641004548,3.3,1.53,5,"Inf"
"caldera-split_p03.pddl","Scorpion",202.66,267.720739750446,273.807302130767,205.01,1.53,6,"Inf"
