"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"dspam_dump_vc949.cnf","minisathackLR_GL_SHR_2011.03.02",0.29,106.381387731481,571.970111902436,0.35,0.26,0,0,0,5,"pred"
"dspam_dump_vc949.cnf","MPhaseSAT64",3.64,108.732271164021,553.842353362926,3.96,0.26,0,0,0,5,"pred"
"dspam_dump_vc949.cnf","lingeling.587f.4882048.110513",1.55,116.089321759259,626.550485407237,1.75,0.26,0,0,0,5,"pred"
"dspam_dump_vc949.cnf","SAT09referencesolverprecosat_236",0.61,120.291440972222,615.241763432032,0.82,0.26,0,0,0,5,"pred"
"dspam_dump_vc949.cnf","minisathackminisat_psm_2011.04.01",0.71,143.176465277778,730.6955740796,0.73,0.26,0,0,0,5,"pred"
"dspam_dump_vc949.cnf","minisathackcontrasat_2011.03.02",0.27,175.613782572751,849.487619455527,0.32,0.26,0,0,0,5,"pred"
"dspam_dump_vc949.cnf","rcl_2011.04.01",0.71,190.641407407407,750.436588204351,0.75,0.26,0,0,0,5,"pred"
"dspam_dump_vc949.cnf","minisathackEBMiniSAT_2011.03.02",0.26,1165.06805208333,1581.03995464611,0.33,0.26,0,0,0,5,"pred"
"dspam_dump_vc949.cnf","minisathackMiniSAT_2.2.0.agile.26",0.28,1186.99645023148,1631.92230449809,0.33,0.26,0,0,0,5,"pred"
"dspam_dump_vc949.cnf","RestartSAT_B95",127.68,1236.10895601852,1846.04111228024,147.26,0.26,0,0,0,5,"pred"
