"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"aes_32_2_keyfind_1.cnf","minisathackMiniSAT_2.2.0.agile.26",0.99,891.903057692307,1604.87845447755,1,0.12,0,0,0,5,"pred"
"aes_32_2_keyfind_1.cnf","minisathackreferenceminisat_2.2.0",1.23,1159.19432371795,1612.60674988536,1.23,0.12,0,0,0,5,"pred"
"aes_32_2_keyfind_1.cnf","minisathackcir_minisat_2011.05.13_simp_",0.77,1264.88715064103,1507.13103590915,0.78,0.12,0,0,0,5,"pred"
"aes_32_2_keyfind_1.cnf","lingeling.587f.4882048.110513",0.44,1549.23194230769,1686.08704079042,0.44,0.12,0,0,0,5,"pred"
"aes_32_2_keyfind_1.cnf","minisathackcontrasat_2011.03.02",5.65,1557.94610576923,1675.89323766332,5.94,0.12,0,0,0,5,"pred"
"aes_32_2_keyfind_1.cnf","SAT09referencesolverprecosat_236",1.02,1701.95223397436,1928.70217945394,1,0.12,0,0,0,5,"pred"
"aes_32_2_keyfind_1.cnf","MPhaseSAT64",582.05,1988.49782371795,2254.44262903054,584.46,0.12,0,0,0,5,"pred"
"aes_32_2_keyfind_1.cnf","minisathackEBMiniSAT_2011.03.02",0.12,2041.66603846154,1974.42178058469,0.12,0.12,0,0,0,5,"pred"
"aes_32_2_keyfind_1.cnf","glueminisat.2.2.5",9.17,2313.30008333333,1745.63062361692,9.26,0.12,0,0,0,5,"pred"
"aes_32_2_keyfind_1.cnf","RestartSAT_B95",1.15,2434.82836858974,1946.65424382551,1.15,0.12,0,0,0,5,"pred"
