"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"AProVE11-07.cnf","minisathackEBMiniSAT_2011.03.02",3.92,389.851029279279,805.946395895797,5.99,1.04,0,0,0,5,"pred"
"AProVE11-07.cnf","minisathackMiniSAT_2.2.0.agile.26",3.3,434.193822072072,1037.30548195701,5.3,1.04,0,0,0,5,"pred"
"AProVE11-07.cnf","SAT09referencesolverprecosat_236",11.34,441.191966216216,981.209857860035,15.45,1.04,0,0,0,5,"pred"
"AProVE11-07.cnf","lingeling.587f.4882048.110513",25.44,568.285191441441,1208.01145301113,28.77,1.04,0,0,0,5,"pred"
"AProVE11-07.cnf","rcl_2011.04.01",4.26,581.32229954955,1231.47224233342,5.6,1.04,0,0,0,5,"pred"
"AProVE11-07.cnf","RestartSAT_B95",2.52,625.128333333334,1215.97035778533,4.93,1.04,0,0,0,5,"pred"
"AProVE11-07.cnf","minisathackcontrasat_2011.03.02",2.46,656.651130630631,1369.62471262587,3.72,1.04,0,0,0,5,"pred"
"AProVE11-07.cnf","minisathackLR_GL_SHR_2011.03.02",2.81,769.37440990991,1344.57417375324,4.2,1.04,0,0,0,5,"pred"
"AProVE11-07.cnf","minisathackreferenceminisat_2.2.0",1.04,806.244193693694,1322.47557623728,1.65,1.04,0,0,0,5,"pred"
"AProVE11-07.cnf","minisathackcir_minisat_2011.05.13_simp_",2.6,867.134256756757,1639.19495459953,3.82,1.04,0,0,0,5,"pred"
