"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"velev-pipe-o-uns-10-7.cnf","glueminisat.2.2.5",69.16,403.553858796296,992.831096856149,83.96,69.16,0,0,0,5,"pred"
"velev-pipe-o-uns-10-7.cnf","minisathackLR_GL_SHR_2011.03.02",81.67,661.82221412037,1541.22789854836,114.24,69.16,0,0,0,5,"pred"
"velev-pipe-o-uns-10-7.cnf","lingeling.587f.4882048.110513",69.52,674.540774305555,1308.68579005662,77.86,69.16,0,0,0,5,"pred"
"velev-pipe-o-uns-10-7.cnf","SAT09referencesolverprecosat_236",75.58,919.182998842593,1701.40123014506,97.5,69.16,0,0,0,5,"pred"
"velev-pipe-o-uns-10-7.cnf","minisathackcir_minisat_2011.05.13_simp_",147.87,921.338888888889,1704.57992293573,205.11,69.16,0,0,0,5,"pred"
"velev-pipe-o-uns-10-7.cnf","RestartSAT_B95",112.94,934.470590277777,1715.21109362189,171.95,69.16,0,0,0,5,"pred"
"velev-pipe-o-uns-10-7.cnf","MPhaseSAT64",178.09,980.024295138889,1797.47634028023,192.61,69.16,0,0,0,5,"pred"
"velev-pipe-o-uns-10-7.cnf","minisathackcontrasat_2011.03.02",143.7,982.645384259259,1711.95576802054,200.17,69.16,0,0,0,5,"pred"
"velev-pipe-o-uns-10-7.cnf","glucose_2.0",251.62,1010.53050115741,1646.30988471531,308.16,69.16,0,0,0,5,"pred"
"velev-pipe-o-uns-10-7.cnf","minisathackminisat_psm_2011.04.01",144.76,1236.62421990741,1917.66377753915,171.41,69.16,0,0,0,5,"pred"
