"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"ACG-15-5p1.cnf","minisathackcontrasat_2011.03.02",73,1330.58191724942,1645.63337733628,134.73,41.66,0,0,0,5,"pred"
"ACG-15-5p1.cnf","glueminisat.2.2.5",41.66,1346.75432400932,1700.80643940952,75.74,41.66,0,0,0,5,"pred"
"ACG-15-5p1.cnf","SAT09referencesolverprecosat_236",51.11,1656.23324125874,1818.09093442189,70.02,41.66,0,0,0,5,"pred"
"ACG-15-5p1.cnf","MPhaseSAT64",49.09,1674.77770745921,1929.07989554859,60.35,41.66,0,0,0,5,"pred"
"ACG-15-5p1.cnf","minisathackEBMiniSAT_2011.03.02",52.04,1685.96487762238,1888.64136935457,57.34,41.66,0,0,0,5,"pred"
"ACG-15-5p1.cnf","minisathackcir_minisat_2011.05.13_simp_",48.63,1878.81685198135,2128.134817397,79.33,41.66,0,0,0,5,"pred"
"ACG-15-5p1.cnf","rcl_2011.04.01",64.22,1879.00117948718,1829.06645856601,107.2,41.66,0,0,0,5,"pred"
"ACG-15-5p1.cnf","glucose_2.0",83.09,1921.06894055944,1897.2751251975,153.58,41.66,0,0,0,5,"pred"
"ACG-15-5p1.cnf","minisathackreferenceminisat_2.2.0",77.58,1933.11874009324,2049.47218960631,128.39,41.66,0,0,0,5,"pred"
"ACG-15-5p1.cnf","minisathackLR_GL_SHR_2011.03.02",52.91,1960.81586829837,1866.84152761691,102.89,41.66,0,0,0,5,"pred"
