"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"9vliw_m_9stages_iq3_C1_bug5.cnf","minisathackLR_GL_SHR_2011.03.02",160.17,571.3073,1121.96872252817,234.44,3.79,0,0,0,5,"pred"
"9vliw_m_9stages_iq3_C1_bug5.cnf","minisathackcir_minisat_2011.05.13_simp_",32.21,648.003317333333,1152.63453741284,46.84,3.79,0,0,0,5,"pred"
"9vliw_m_9stages_iq3_C1_bug5.cnf","glueminisat.2.2.5",37.36,688.990005333333,1214.19914416228,42.9,3.79,0,0,0,5,"pred"
"9vliw_m_9stages_iq3_C1_bug5.cnf","lingeling.587f.4882048.110513",38.12,736.107716142857,1332.45211194254,44.77,3.79,0,0,0,5,"pred"
"9vliw_m_9stages_iq3_C1_bug5.cnf","glucose_2.0",3.79,752.1846,1269.63844850016,5.3,3.79,0,0,0,5,"pred"
"9vliw_m_9stages_iq3_C1_bug5.cnf","minisathackcontrasat_2011.03.02",42.36,833.009450666666,1388.52919840214,52.1,3.79,0,0,0,5,"pred"
"9vliw_m_9stages_iq3_C1_bug5.cnf","MPhaseSAT64",104.15,875.201350666667,1277.06079923835,114.32,3.79,0,0,0,5,"pred"
"9vliw_m_9stages_iq3_C1_bug5.cnf","RestartSAT_B95",32.23,1157.34790421505,1631.99616129001,42.36,3.79,0,0,0,5,"pred"
"9vliw_m_9stages_iq3_C1_bug5.cnf","rcl_2011.04.01",17.09,1259.02353333333,1828.32644239937,21.79,3.79,0,0,0,5,"pred"
"9vliw_m_9stages_iq3_C1_bug5.cnf","minisathackEBMiniSAT_2011.03.02",37.41,1292.35415242105,1869.97243860406,44.13,3.79,0,0,0,5,"pred"
