"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"E02F17.cnf","glucose_2.0",20.06,325.973274305555,958.11360133485,21.98,15.67,0,0,0,0,"pred"
"E02F17.cnf","RestartSAT_B95",29.91,404.032837962963,1102.48652878167,34.94,15.67,0,0,0,0,"pred"
"E02F17.cnf","minisathackreferenceminisat_2.2.0",35.45,409.38309837963,1093.72979552752,41.56,15.67,0,0,0,0,"pred"
"E02F17.cnf","minisathackEBMiniSAT_2011.03.02",74.14,473.962863425926,1178.4961956803,84.54,15.67,0,0,0,0,"pred"
"E02F17.cnf","SAT09referencesolverprecosat_236",32.59,523.068706018519,1262.26343539099,42.12,15.67,0,0,0,0,"pred"
"E02F17.cnf","lingeling.587f.4882048.110513",33.3,559.951246527777,1286.82040415059,35.99,15.67,0,0,0,0,"pred"
"E02F17.cnf","glueminisat.2.2.5",15.67,580.876938657408,1372.4270452165,16.85,15.67,0,0,0,0,"pred"
"E02F17.cnf","MPhaseSAT64",52.94,636.043825231481,1308.77037346883,55.42,15.67,0,0,0,0,"pred"
"E02F17.cnf","minisathackMiniSAT_2.2.0.agile.26",52.33,645.301416666667,1465.7459450742,62.11,15.67,0,0,0,0,"pred"
"E02F17.cnf","minisathackcontrasat_2011.03.02",58.03,663.825474537037,1463.26939729937,66.93,15.67,0,0,0,0,"pred"
