"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"UTI-20-10t1.cnf","minisathackminisat_psm_2011.04.01",3.81,1298.63783866667,1668.87657026392,5.15,1.05,0,0,0,0,"pred"
"UTI-20-10t1.cnf","SAT09referencesolverprecosat_236",13.95,1381.9054392381,1658.18526169407,18.61,1.05,0,0,0,0,"pred"
"UTI-20-10t1.cnf","glucose_2.0",1.05,1500.645584,1555.07898660748,1.6,1.05,0,0,0,0,"pred"
"UTI-20-10t1.cnf","minisathackMiniSAT_2.2.0.agile.26",3.63,1557.53230933333,2065.53957479052,4.89,1.05,0,0,0,0,"pred"
"UTI-20-10t1.cnf","lingeling.587f.4882048.110513",5.32,1627.02999066667,1486.17828988443,6.18,1.05,0,0,0,0,"pred"
"UTI-20-10t1.cnf","minisathackcontrasat_2011.03.02",1.99,1709.48620723809,1899.01778671535,2.76,1.05,0,0,0,0,"pred"
"UTI-20-10t1.cnf","MPhaseSAT64",6.04,1784.01449866667,2017.04752209028,6.93,1.05,0,0,0,0,"pred"
"UTI-20-10t1.cnf","minisathackEBMiniSAT_2011.03.02",2.08,1909.56832933333,2138.92920242229,3.98,1.05,0,0,0,0,"pred"
"UTI-20-10t1.cnf","RestartSAT_B95",4.07,2130.21098666667,1993.56587422155,7.04,1.05,0,0,0,0,"pred"
"UTI-20-10t1.cnf","minisathackcir_minisat_2011.05.13_simp_",1.51,2135.99414666667,2235.10629427978,2.42,1.05,0,0,0,0,"pred"
