"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"blocks-blocks-37-1130-NOTKNOWN.cnf","glucose_2.0",657.04,169.493887820513,263.045752818368,714.49,307.33,0,0,0,0,"pred"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackLR_GL_SHR_2011.03.02",959.74,207.820477564103,415.536378020898,1075.38,307.33,0,0,0,0,"pred"
"blocks-blocks-37-1130-NOTKNOWN.cnf","MPhaseSAT64",635.79,260.836634615385,306.334628262296,669.35,307.33,0,0,0,0,"pred"
"blocks-blocks-37-1130-NOTKNOWN.cnf","RestartSAT_B95",616.31,265.16242948718,448.533558939675,749.57,307.33,0,0,0,0,"pred"
"blocks-blocks-37-1130-NOTKNOWN.cnf","lingeling.587f.4882048.110513",466.25,286.220878205128,721.22053227571,533.91,307.33,0,0,0,0,"pred"
"blocks-blocks-37-1130-NOTKNOWN.cnf","rcl_2011.04.01",640.95,361.142926282051,789.505694575921,728.32,307.33,0,0,0,0,"pred"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackminisat_psm_2011.04.01",1186.85,372.941503205128,779.767660753621,1334.42,307.33,0,0,0,0,"pred"
"blocks-blocks-37-1130-NOTKNOWN.cnf","glueminisat.2.2.5",633.83,425.293669871795,1163.79947638896,700.19,307.33,0,0,0,0,"pred"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackcontrasat_2011.03.02",1410.81,454.625894230769,777.715094709333,1568.78,307.33,0,0,0,0,"pred"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackreferenceminisat_2.2.0",1236.05,463.047208333333,671.350424937895,1354.3,307.33,0,0,0,0,"pred"
