"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"gss-16-s100.cnf","MPhaseSAT64",331.89,1046.31183004139,1519.55646304711,347.75,6.05,0,0,0,0,"pred"
"gss-16-s100.cnf","glueminisat.2.2.5",33.29,1712.38280375206,1506.09721151261,37.61,6.05,0,0,0,0,"pred"
"gss-16-s100.cnf","SAT09referencesolverprecosat_236",26.98,1740.48229735391,1832.97913415976,31.26,6.05,0,0,0,0,"pred"
"gss-16-s100.cnf","minisathackcontrasat_2011.03.02",10.82,1763.02247444116,1826.65114072622,11.71,6.05,0,0,0,0,"pred"
"gss-16-s100.cnf","lingeling.587f.4882048.110513",42.12,1874.44257219144,1614.72552549639,43.01,6.05,0,0,0,0,"pred"
"gss-16-s100.cnf","minisathackminisat_psm_2011.04.01",35.09,1932.30196841434,1729.44188264341,36.03,6.05,0,0,0,0,"pred"
"gss-16-s100.cnf","minisathackEBMiniSAT_2011.03.02",51.99,2043.83230748828,1747.42172247824,82.04,6.05,0,0,0,0,"pred"
"gss-16-s100.cnf","minisathackreferenceminisat_2.2.0",109.39,2147.44153187999,1715.48972823685,126.39,6.05,0,0,0,0,"pred"
"gss-16-s100.cnf","minisathackcir_minisat_2011.05.13_simp_",18.18,2212.2550563224,1696.54046409384,22.16,6.05,0,0,0,0,"pred"
"gss-16-s100.cnf","rcl_2011.04.01",36.91,2272.6242494093,1979.12959822509,39.15,6.05,0,0,0,0,"pred"
