"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","minisathackEBMiniSAT_2011.03.02",2.33,584.714459139785,1337.58054609665,2.76,1.95,0,0,0,0,"pred"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","SAT09referencesolverprecosat_236",3.94,632.519925806452,1324.86689600307,5.16,1.95,0,0,0,0,"pred"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","lingeling.587f.4882048.110513",11.26,634.668753763441,1275.54439599392,11.98,1.95,0,0,0,0,"pred"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","minisathackreferenceminisat_2.2.0",2.8,660.405269892473,1480.81281853121,4.06,1.95,0,0,0,0,"pred"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","glueminisat.2.2.5",1.99,868.988412903226,1543.58904487276,2.57,1.95,0,0,0,0,"pred"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","RestartSAT_B95",5.55,874.163659139785,1555.17152372265,8.72,1.95,0,0,0,0,"pred"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","glucose_2.0",2.77,897.87898172043,1715.92234839817,4.04,1.95,0,0,0,0,"pred"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","minisathackminisat_psm_2011.04.01",2.57,1010.81938387097,1785.30049339963,2.84,1.95,0,0,0,0,"pred"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","rcl_2011.04.01",2.75,1043.14640322581,1754.63125467911,3.06,1.95,0,0,0,0,"pred"
"hwmcc10-timeframe-expansion-k50-pdtswvsam6x8p3-tseitin.cnf","minisathackLR_GL_SHR_2011.03.02",1.95,1050.35234516129,1727.70153626737,2.53,1.95,0,0,0,0,"pred"
