"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","SAT09referencesolverprecosat_236",3.04,793.928041666667,1454.52222623099,3.94,0.76,0,0,0,0,"pred"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","glucose_2.0",0.76,821.619402777778,1624.6539969598,1.31,0.76,0,0,0,0,"pred"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","glueminisat.2.2.5",1.41,866.578620370371,1475.01135284707,1.77,0.76,0,0,0,0,"pred"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","lingeling.587f.4882048.110513",11.03,917.964128703704,1570.16972226104,12.49,0.76,0,0,0,0,"pred"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","minisathackminisat_psm_2011.04.01",3.01,1056.49538618234,1776.5675783857,3.4,0.76,0,0,0,0,"pred"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","RestartSAT_B95",4.25,1161.66572592593,1867.01586539645,7.89,0.76,0,0,0,0,"pred"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","minisathackreferenceminisat_2.2.0",1.12,1207.0092287037,1887.98019747485,2.13,0.76,0,0,0,0,"pred"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","rcl_2011.04.01",3.15,1232.81085740741,1966.84774865711,3.46,0.76,0,0,0,0,"pred"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","minisathackcir_minisat_2011.05.13_simp_",1.22,1283.52479722222,2006.07181078829,1.85,0.76,0,0,0,0,"pred"
"smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf","MPhaseSAT64",8.35,1285.65174907407,1940.96284932832,8.68,0.76,0,0,0,0,"pred"
