"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","glueminisat.2.2.5",15.18,588.711092592592,1317.73493648092,17.39,10.57,0,0,0,0,"pred"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","lingeling.587f.4882048.110513",63.46,640.061728395062,1116.70813817939,65.32,10.57,0,0,0,0,"pred"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","minisathackLR_GL_SHR_2011.03.02",10.57,794.617981481481,1429.86248609912,11.58,10.57,0,0,0,0,"pred"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","SAT09referencesolverprecosat_236",32.23,904.63475462963,1482.50400177796,34.28,10.57,0,0,0,0,"pred"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","minisathackEBMiniSAT_2011.03.02",13.57,1000.85159074074,1633.84207418028,15.34,10.57,0,0,0,0,"pred"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","minisathackcontrasat_2011.03.02",15,1032.83291059671,1759.92303364281,16.52,10.57,0,0,0,0,"pred"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","minisathackMiniSAT_2.2.0.agile.26",15.89,1086.05536111111,1729.93312433572,17.6,10.57,0,0,0,0,"pred"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","RestartSAT_B95",397.08,1153.34352037037,1669.92159679077,627.27,10.57,0,0,0,0,"pred"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","minisathackminisat_psm_2011.04.01",295.31,1185.54755648148,1687.25301621765,297.06,10.57,0,0,0,0,"pred"
"smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf","MPhaseSAT64",31.02,1204.89923611111,1956.71777759136,31.04,10.57,0,0,0,0,"pred"
