"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"vmpc_29renamed-assat05-1916.cnf","rcl_2011.04.01",3677.25,1335.66149774775,2044.70233441278,4362.27,68.86,0,0,0,0,"pred"
"vmpc_29renamed-assat05-1916.cnf","glucose_2.0",846,1536.62077927928,1091.77503336783,948.74,68.86,0,0,0,0,"pred"
"vmpc_29renamed-assat05-1916.cnf","minisathackLR_GL_SHR_2011.03.02",299.06,1642.56193918919,1515.68332015475,325.73,68.86,0,0,0,0,"pred"
"vmpc_29renamed-assat05-1916.cnf","MPhaseSAT64",236.21,2041.68710810811,1440.36892990869,252.08,68.86,0,0,0,0,"pred"
"vmpc_29renamed-assat05-1916.cnf","minisathackreferenceminisat_2.2.0",68.86,2295.3034954955,1713.25182088046,74.69,68.86,0,0,0,0,"pred"
"vmpc_29renamed-assat05-1916.cnf","glueminisat.2.2.5",134.93,2414.60001351351,1753.28318504119,144.15,68.86,0,0,0,0,"pred"
"vmpc_29renamed-assat05-1916.cnf","minisathackEBMiniSAT_2011.03.02",326.12,2491.40690540541,1658.95599332268,1098.35,68.86,0,0,0,0,"pred"
"vmpc_29renamed-assat05-1916.cnf","minisathackcontrasat_2011.03.02",502.8,2555.72679279279,1494.15812224992,550.25,68.86,0,0,0,0,"pred"
"vmpc_29renamed-assat05-1916.cnf","minisathackMiniSAT_2.2.0.agile.26",215.54,3639.2248490991,2091.11190183602,226.65,68.86,0,0,0,0,"pred"
"vmpc_29renamed-assat05-1916.cnf","SAT09referencesolverprecosat_236",956.77,3776.88680405405,2019.34433869684,1342.19,68.86,0,0,0,0,"pred"
