"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"ibm-2004-01-k90.cnf","glucose_2.0",1.94,439.293689102564,981.523412185652,2.18,1.93,1,"2.18"
"ibm-2004-01-k90.cnf","minisathackreferenceminisat_2.2.0",1.93,518.169519230769,940.290580794397,2.1,1.93,2,"2.1"
"ibm-2004-01-k90.cnf","SAT09referencesolverprecosat_236",9.55,653.316987179487,1213.272694657,12.31,1.93,3,"12.31"
"ibm-2004-01-k90.cnf","rcl_2011.04.01",17.83,827.949041666667,1203.71334771883,20.11,1.93,4,"20.11"
"ibm-2004-01-k90.cnf","minisathackminisat_psm_2011.04.01",7.87,855.760733974359,1415.82262817515,8.75,1.93,5,"8.75"
"ibm-2004-01-k90.cnf","MPhaseSAT64",16.72,830.986612179487,1457.32128532164,17.65,1.93,6,"17.65"
"ibm-2004-01-k90.cnf","RestartSAT_B95",37.8,900.541423076923,1505.24284131855,46.17,1.93,7,"46.17"
"ibm-2004-01-k90.cnf","minisathackcir_minisat_2011.05.13_simp_",8.8,922.813429487179,1608.97033756815,9.92,1.93,8,"9.92"
"ibm-2004-01-k90.cnf","minisathackMiniSAT_2.2.0.agile.26",15.44,909.393054487179,1651.40198265644,18.33,1.93,9,"18.33"
"ibm-2004-01-k90.cnf","lingeling.587f.4882048.110513",37.37,1073.36757692308,1717.19401317401,41.26,1.93,10,"41.26"
"ibm-2004-01-k90.cnf","minisathackLR_GL_SHR_2011.03.02",30.43,1225.98182371795,1593.57671731398,42.83,1.93,1,"Inf"
"ibm-2004-01-k90.cnf","minisathackEBMiniSAT_2011.03.02",21.37,1107.45533012821,1787.72366299895,25.07,1.93,2,"Inf"
"ibm-2004-01-k90.cnf","glueminisat.2.2.5",25.49,1277.26721153846,1813.79531423611,30.28,1.93,3,"Inf"
"ibm-2004-01-k90.cnf","minisathackcontrasat_2011.03.02",11.82,1334.75084294872,1848.409564791,13.36,1.93,4,"Inf"
