"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"manol-pipe-c10nidw.cnf","lingeling.587f.4882048.110513",295.45,797.736551801802,1334.36188844499,342.17,113.06,1,"342.17"
"manol-pipe-c10nidw.cnf","minisathackcontrasat_2011.03.02",436.57,694.535567567568,1495.93898001569,662.25,113.06,2,"662.25"
"manol-pipe-c10nidw.cnf","minisathackLR_GL_SHR_2011.03.02",266.88,824.992921171171,1439.02619798438,471.69,113.06,3,"471.69"
"manol-pipe-c10nidw.cnf","minisathackcir_minisat_2011.05.13_simp_",5000,931.665786036036,1640.31404793227,5000,113.06,4,"Inf"
"manol-pipe-c10nidw.cnf","glucose_2.0",1293.93,986.880436936937,1606.95754709258,2069.38,113.06,5,"2069.38"
"manol-pipe-c10nidw.cnf","minisathackreferenceminisat_2.2.0",5000,978.321673423423,1641.8570089696,5000,113.06,6,"Inf"
"manol-pipe-c10nidw.cnf","rcl_2011.04.01",171.95,1029.33857207207,1695.21501400188,226.82,113.06,7,"226.82"
"manol-pipe-c10nidw.cnf","minisathackEBMiniSAT_2011.03.02",208.91,1034.42701576577,1769.74866212894,264.05,113.06,8,"264.05"
"manol-pipe-c10nidw.cnf","minisathackminisat_psm_2011.04.01",113.06,1149.67338513513,1688.59627678446,146.89,113.06,9,"146.89"
"manol-pipe-c10nidw.cnf","glueminisat.2.2.5",154.01,1134.51768018018,1706.47888227445,237.2,113.06,10,"237.2"
"manol-pipe-c10nidw.cnf","MPhaseSAT64",191.82,1246.02908333333,1959.73014892055,224.15,113.06,1,"Inf"
"manol-pipe-c10nidw.cnf","SAT09referencesolverprecosat_236",316.01,1291.06467117117,1917.00599022745,426.65,113.06,2,"Inf"
"manol-pipe-c10nidw.cnf","RestartSAT_B95",5000,1503.16761486486,2015.58881790014,5000,113.06,3,"Inf"
"manol-pipe-c10nidw.cnf","minisathackMiniSAT_2.2.0.agile.26",230.07,1695.00903603604,1973.86253431964,320.02,113.06,4,"2891.99983396831"
