"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sha0_36_5.cnf","minisathackreferenceminisat_2.2.0",435.05,326.401083333333,994.3589503543,435.05,16.7,1,"435.05"
"sha0_36_5.cnf","minisathackminisat_psm_2011.04.01",123.86,732.557700231482,954.497606962158,123.86,16.7,1,"Inf"
"sha0_36_5.cnf","minisathackMiniSAT_2.2.0.agile.26",193.85,930.767822916667,820.238963531626,193.85,16.7,1,"Inf"
"sha0_36_5.cnf","MPhaseSAT64",266.2,630.517140046296,1136.7725245335,266.2,16.7,1,"Inf"
"sha0_36_5.cnf","minisathackcir_minisat_2011.05.13_simp_",45.59,544.288065972222,1296.73126505277,45.59,16.7,1,"Inf"
"sha0_36_5.cnf","minisathackEBMiniSAT_2011.03.02",2649.88,665.850359953704,1280.19227256367,2649.88,16.7,1,"Inf"
"sha0_36_5.cnf","rcl_2011.04.01",52.8,804.912444444445,1181.59179635285,52.8,16.7,1,"Inf"
"sha0_36_5.cnf","lingeling.587f.4882048.110513",111.75,661.867795138889,1331.84691082035,111.75,16.7,1,"Inf"
"sha0_36_5.cnf","minisathackcontrasat_2011.03.02",16.7,1248.61165509259,1629.80321066782,16.7,16.7,1,"Inf"
"sha0_36_5.cnf","RestartSAT_B95",958.16,1564.77033101852,1571.52785536671,958.16,16.7,1,"Inf"
"sha0_36_5.cnf","glucose_2.0",661.32,2375.79449537037,2240.53524396261,661.32,16.7,1,"Inf"
"sha0_36_5.cnf","glueminisat.2.2.5",5000,3929.78776273148,1552.72433159364,5000,16.7,1,"Inf"
"sha0_36_5.cnf","minisathackLR_GL_SHR_2011.03.02",5000,4763.30353240741,968.065742674038,5000,16.7,1,"Inf"
"sha0_36_5.cnf","SAT09referencesolverprecosat_236",3072.35,4460.70529282407,1276.63717735308,3072.35,16.7,1,"Inf"
