"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"traffic_3b_unknown.cnf","minisathackcir_minisat_2011.05.13_simp_",337.5,527.830086666666,937.645550166454,348.8,97.21,1,"348.8"
"traffic_3b_unknown.cnf","minisathackminisat_psm_2011.04.01",174.53,527.200277333334,1219.11979574045,175.75,97.21,2,"175.75"
"traffic_3b_unknown.cnf","minisathackMiniSAT_2.2.0.agile.26",210.86,559.22438,1269.78934712113,217.15,97.21,1,"Inf"
"traffic_3b_unknown.cnf","lingeling.587f.4882048.110513",279.02,702.853464,1190.21867805685,279.78,97.21,2,"Inf"
"traffic_3b_unknown.cnf","SAT09referencesolverprecosat_236",310.05,663.629117333333,1277.98222268714,333.6,97.21,1,"Inf"
"traffic_3b_unknown.cnf","minisathackreferenceminisat_2.2.0",265.31,688.144189333334,1309.40840989438,275.01,97.21,2,"Inf"
"traffic_3b_unknown.cnf","RestartSAT_B95",355.11,767.268154787879,1245.33000957904,375.97,97.21,1,"Inf"
"traffic_3b_unknown.cnf","MPhaseSAT64",378.29,784.681730666666,1281.24093518205,382.96,97.21,2,"Inf"
"traffic_3b_unknown.cnf","minisathackcontrasat_2011.03.02",402.63,713.638134666667,1369.14766057539,415.24,97.21,1,"Inf"
"traffic_3b_unknown.cnf","minisathackEBMiniSAT_2011.03.02",225.08,826.300843087719,1508.28790619555,222.41,97.21,2,"Inf"
"traffic_3b_unknown.cnf","rcl_2011.04.01",406.4,853.38344,1520.61984602822,411.14,97.21,1,"Inf"
"traffic_3b_unknown.cnf","glucose_2.0",97.21,874.066750666667,1712.29682512979,97.65,97.21,2,"Inf"
"traffic_3b_unknown.cnf","minisathackLR_GL_SHR_2011.03.02",585.97,1078.055632,1582.50676293534,626.47,97.21,1,"Inf"
"traffic_3b_unknown.cnf","glueminisat.2.2.5",205.36,1145.06340177778,1813.97260163224,204.39,97.21,2,"Inf"
