"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"gss-21-s100.cnf","lingeling.587f.4882048.110513",4111.75,1124.29747337963,1513.3586095252,4137.5,31.31,1,"Inf"
"gss-21-s100.cnf","MPhaseSAT64",32.15,1038.86994444444,1854.31035132938,32.2,31.31,2,"32.2"
"gss-21-s100.cnf","rcl_2011.04.01",5000,1227.81140393518,1974.03100043964,5000,31.31,3,"Inf"
"gss-21-s100.cnf","glueminisat.2.2.5",2927.3,1630.88618865741,1592.88161757508,3059.25,31.31,4,"3059.25"
"gss-21-s100.cnf","minisathackLR_GL_SHR_2011.03.02",5000,2539.1922349537,1702.85217489147,5000,31.31,5,"Inf"
"gss-21-s100.cnf","RestartSAT_B95",5000,3023.52958449074,2171.747760459,5000,31.31,1,"Inf"
"gss-21-s100.cnf","minisathackMiniSAT_2.2.0.agile.26",4901.59,2895.90254861111,2344.33647639498,5000,31.31,2,"Inf"
"gss-21-s100.cnf","minisathackreferenceminisat_2.2.0",2462.28,2951.88195138889,2299.11289649086,2425.77,31.31,3,"Inf"
"gss-21-s100.cnf","glucose_2.0",2604.36,3139.34511458333,2146.68206872461,2751.73,31.31,4,"Inf"
"gss-21-s100.cnf","SAT09referencesolverprecosat_236",129.03,3155.2028599537,2166.4044771867,141.39,31.31,5,"4383.43440984517"
"gss-21-s100.cnf","minisathackcir_minisat_2011.05.13_simp_",2040.38,3196.28572916667,2284.85057048373,2105.15,31.31,1,"Inf"
"gss-21-s100.cnf","minisathackcontrasat_2011.03.02",31.31,3187.05157986111,2325.66165421601,30.58,31.31,2,"Inf"
"gss-21-s100.cnf","minisathackminisat_psm_2011.04.01",883.39,3313.94516203704,2199.82966265469,874.54,31.31,3,"Inf"
"gss-21-s100.cnf","minisathackEBMiniSAT_2011.03.02",1244.6,3319.26524884259,2283.8709954792,5000,31.31,4,"Inf"
