"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"UR-10-10p1.cnf","minisathackEBMiniSAT_2011.03.02",11.34,595.530204861111,1430.68811990981,70.33,11.34,1,"70.33"
"UR-10-10p1.cnf","minisathackreferenceminisat_2.2.0",103.15,711.098939814815,1443.83253330394,140.98,11.34,2,"140.98"
"UR-10-10p1.cnf","glucose_2.0",38.78,824.629385416667,1390.58084931942,53,11.34,3,"53"
"UR-10-10p1.cnf","minisathackminisat_psm_2011.04.01",40.94,792.124535879629,1495.75536885714,50.65,11.34,4,"50.65"
"UR-10-10p1.cnf","glueminisat.2.2.5",38.01,952.696752314815,1583.42081865068,51.04,11.34,5,"51.04"
"UR-10-10p1.cnf","SAT09referencesolverprecosat_236",67.32,983.85009837963,1660.65490742804,82.12,11.34,6,"82.12"
"UR-10-10p1.cnf","lingeling.587f.4882048.110513",39.34,1035.39526273148,1642.86836885615,43.8,11.34,1,"Inf"
"UR-10-10p1.cnf","RestartSAT_B95",69.09,937.505298611112,1787.65605516865,98.12,11.34,2,"Inf"
"UR-10-10p1.cnf","MPhaseSAT64",102.1,990.06403587963,1830.1419390271,113.07,11.34,3,"Inf"
"UR-10-10p1.cnf","rcl_2011.04.01",23.36,1044.44602083333,1848.21490423119,28.98,11.34,4,"Inf"
"UR-10-10p1.cnf","minisathackLR_GL_SHR_2011.03.02",53.88,1097.90873842593,1808.57063923388,74.87,11.34,5,"Inf"
"UR-10-10p1.cnf","minisathackMiniSAT_2.2.0.agile.26",59.79,1161.05044675926,1911.9226871383,81.55,11.34,6,"Inf"
"UR-10-10p1.cnf","minisathackcir_minisat_2011.05.13_simp_",97.49,1217.80484606482,1905.49863110629,128.08,11.34,1,"Inf"
"UR-10-10p1.cnf","minisathackcontrasat_2011.03.02",60.55,1266.37338541667,2040.72389556726,83.79,11.34,2,"Inf"
