"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"gus-md5-11.cnf","minisathackMiniSAT_2.2.0.agile.26",910.25,2240.27937152778,1752.34012488696,1213.31,910.25,1,"1213.31"
"gus-md5-11.cnf","rcl_2011.04.01",1216.98,2432.13862615741,1667.16337931602,1535.05,910.25,2,"1535.05"
"gus-md5-11.cnf","SAT09referencesolverprecosat_236",1331.21,3356.85615856482,1527.80322910051,1791.34,910.25,3,"1791.34"
"gus-md5-11.cnf","minisathackEBMiniSAT_2011.03.02",1132.03,2996.87218055556,2093.86735844286,1410.24,910.25,4,"1410.24"
"gus-md5-11.cnf","minisathackreferenceminisat_2.2.0",1754.37,2835.69557638889,2294.02941790079,2250.81,910.25,5,"2250.81"
"gus-md5-11.cnf","minisathackminisat_psm_2011.04.01",1073.45,3104.29064583333,2182.47015223426,1320.34,910.25,6,"1320.34"
"gus-md5-11.cnf","MPhaseSAT64",5000,3065.59766666667,2241.60585459279,5000,910.25,1,"Inf"
"gus-md5-11.cnf","minisathackcontrasat_2011.03.02",1117.22,3195.48355902778,2140.16715607102,1532.68,910.25,2,"Inf"
"gus-md5-11.cnf","lingeling.587f.4882048.110513",5000,3025.08292476852,2310.6605662202,5000,910.25,3,"Inf"
"gus-md5-11.cnf","RestartSAT_B95",2205.71,3129.28943402778,2236.88815660993,2935.9,910.25,4,"Inf"
"gus-md5-11.cnf","minisathackcir_minisat_2011.05.13_simp_",2039.07,3105.18527893519,2294.4291324148,2694.05,910.25,5,"Inf"
"gus-md5-11.cnf","glucose_2.0",5000,4384.74170138889,1320.83613412752,5000,910.25,6,"Inf"
"gus-md5-11.cnf","glueminisat.2.2.5",3823.83,4468.70475810185,1297.29405243837,4557.2,910.25,1,"Inf"
"gus-md5-11.cnf","minisathackLR_GL_SHR_2011.03.02",5000,4629.30685416667,1240.6810644557,5000,910.25,2,"Inf"
