"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"AProVE11-16.cnf","glueminisat.2.2.5",0.67,1284.8013831728,1575.35657440698,0.7,0.53,1,"0.7"
"AProVE11-16.cnf","minisathackminisat_psm_2011.04.01",0.97,1405.62783709514,1710.21631078661,1.06,0.53,2,"1.06"
"AProVE11-16.cnf","minisathackMiniSAT_2.2.0.agile.26",0.53,1519.00077623643,1790.76246780076,0.64,0.53,3,"0.64"
"AProVE11-16.cnf","rcl_2011.04.01",1.06,1530.60629436142,1781.28938640878,1.09,0.53,4,"1.09"
"AProVE11-16.cnf","minisathackLR_GL_SHR_2011.03.02",0.53,1620.82479072879,1717.70908572987,0.6,0.53,5,"0.6"
"AProVE11-16.cnf","lingeling.587f.4882048.110513",7.87,1598.325904417,1808.21675956376,7.55,0.53,6,"7.55"
"AProVE11-16.cnf","minisathackcontrasat_2011.03.02",0.61,1628.88910982082,1812.51948750526,0.73,0.53,7,"0.73"
"AProVE11-16.cnf","SAT09referencesolverprecosat_236",1.44,1621.92881737625,1821.49275425947,1.82,0.53,1,"Inf"
"AProVE11-16.cnf","glucose_2.0",0.62,1768.23408851491,1919.29510597561,0.69,0.53,2,"Inf"
"AProVE11-16.cnf","minisathackcir_minisat_2011.05.13_simp_",0.76,1781.64891243503,1907.30056487071,1.17,0.53,3,"Inf"
"AProVE11-16.cnf","MPhaseSAT64",6.52,1813.08006000241,1966.61534078342,6.37,0.53,4,"Inf"
"AProVE11-16.cnf","minisathackreferenceminisat_2.2.0",0.68,1922.45294220953,1881.2407278635,0.84,0.53,5,"Inf"
"AProVE11-16.cnf","minisathackEBMiniSAT_2011.03.02",0.6,1895.31670781803,1962.8319509286,0.64,0.53,6,"Inf"
"AProVE11-16.cnf","RestartSAT_B95",0.68,2088.74073136338,1978.3856023334,0.85,0.53,7,"Inf"
