"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"blocks-blocks-36-0180-SAT.cnf","SAT09referencesolverprecosat_236",190.97,343.203741258741,721.588762765137,217.61,8.47,1,"217.61"
"blocks-blocks-36-0180-SAT.cnf","minisathackMiniSAT_2.2.0.agile.26",34.28,368.86955011655,810.11125377829,40.48,8.47,2,"40.48"
"blocks-blocks-36-0180-SAT.cnf","rcl_2011.04.01",39.24,418.181466200466,944.817553765915,48.91,8.47,3,"48.91"
"blocks-blocks-36-0180-SAT.cnf","glucose_2.0",18.65,354.555543123544,1054.41704130241,21.53,8.47,4,"21.53"
"blocks-blocks-36-0180-SAT.cnf","RestartSAT_B95",27.64,437.946333333334,977.426168730077,36.3,8.47,5,"36.3"
"blocks-blocks-36-0180-SAT.cnf","MPhaseSAT64",139.72,475.574219114219,1057.06616486194,157.44,8.47,6,"157.44"
"blocks-blocks-36-0180-SAT.cnf","minisathackcir_minisat_2011.05.13_simp_",60.42,453.707660427807,1103.43057307884,75.55,8.47,7,"75.55"
"blocks-blocks-36-0180-SAT.cnf","glueminisat.2.2.5",24.23,476.195651515151,1088.91140787406,28.33,8.47,1,"Inf"
"blocks-blocks-36-0180-SAT.cnf","minisathackLR_GL_SHR_2011.03.02",17.64,482.207265734266,1152.18415191222,19.91,8.47,2,"Inf"
"blocks-blocks-36-0180-SAT.cnf","minisathackminisat_psm_2011.04.01",140.42,570.018362470863,1126.25591995713,173.91,8.47,3,"Inf"
"blocks-blocks-36-0180-SAT.cnf","lingeling.587f.4882048.110513",42.84,480.317208624708,1244.1151593086,49.65,8.47,4,"Inf"
"blocks-blocks-36-0180-SAT.cnf","minisathackcontrasat_2011.03.02",121.42,575.661173659674,1223.81456587329,145.82,8.47,5,"Inf"
"blocks-blocks-36-0180-SAT.cnf","minisathackreferenceminisat_2.2.0",8.47,668.499625874127,1245.64717435835,10.72,8.47,6,"Inf"
"blocks-blocks-36-0180-SAT.cnf","minisathackEBMiniSAT_2011.03.02",48.3,675.663589743589,1251.8697350767,16.69,8.47,7,"Inf"
