"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"c10idw_i.cnf","lingeling.587f.4882048.110513",38.19,660.649425675676,1186.1131167682,40.23,20.66,1,"40.23"
"c10idw_i.cnf","glueminisat.2.2.5",20.66,714.562547297297,1367.3754009937,26.23,20.66,2,"26.23"
"c10idw_i.cnf","minisathackminisat_psm_2011.04.01",22.13,873.619387387387,1545.12703844299,24.78,20.66,3,"24.78"
"c10idw_i.cnf","minisathackcontrasat_2011.03.02",38.21,1044.78373648649,1714.18756471335,46.25,20.66,4,"46.25"
"c10idw_i.cnf","rcl_2011.04.01",30.74,1048.5336981982,1729.98994885244,34.59,20.66,5,"34.59"
"c10idw_i.cnf","SAT09referencesolverprecosat_236",52.26,1061.76504054054,1755.48250222327,66.36,20.66,6,"66.36"
"c10idw_i.cnf","glucose_2.0",76.09,1156.50929279279,1809.5236656347,96.61,20.66,7,"96.61"
"c10idw_i.cnf","minisathackEBMiniSAT_2011.03.02",27.65,1186.70784459459,1937.77151004467,34.13,20.66,8,"34.13"
"c10idw_i.cnf","MPhaseSAT64",42.01,1273.06145045045,1955.54535529999,44.24,20.66,9,"44.24"
"c10idw_i.cnf","minisathackcir_minisat_2011.05.13_simp_",199.4,1301.81237162162,1970.5879508641,263.47,20.66,1,"Inf"
"c10idw_i.cnf","minisathackLR_GL_SHR_2011.03.02",23.88,1316.20513513513,1988.47392808313,32.65,20.66,2,"Inf"
"c10idw_i.cnf","minisathackreferenceminisat_2.2.0",126.6,1390.17189864865,2034.59013069636,162.61,20.66,3,"Inf"
"c10idw_i.cnf","minisathackMiniSAT_2.2.0.agile.26",38.5,1499.50062612613,1992.16368975206,46.26,20.66,4,"Inf"
"c10idw_i.cnf","RestartSAT_B95",91.18,1601.56936486486,2105.57246568635,141.24,20.66,5,"Inf"
