"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","glueminisat.2.2.5",0.42,1260.5293997669,1785.45641651588,0.49,0.05,1,"0.49"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","lingeling.587f.4882048.110513",0.53,1367.80446270396,1855.91812103261,0.57,0.05,2,"0.57"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","glucose_2.0",0.05,1790.91399417249,1956.1883872656,0.06,0.05,3,"0.06"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","minisathackminisat_psm_2011.04.01",0.74,1749.06318764569,2010.95253835701,0.77,0.05,4,"0.77"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","minisathackLR_GL_SHR_2011.03.02",0.39,1780.16043589744,2007.77883463556,0.5,0.05,5,"0.5"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","rcl_2011.04.01",0.76,1793.46668648019,2144.73220839222,0.8,0.05,6,"0.8"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","SAT09referencesolverprecosat_236",0.09,1789.54474358974,2201.29984952452,0.11,0.05,7,"0.11"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","minisathackEBMiniSAT_2011.03.02",0.42,1957.49231002331,2110.92065097035,0.48,0.05,8,"0.48"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","minisathackreferenceminisat_2.2.0",0.05,2023.60849067599,2102.06182923716,0.05,0.05,9,"0.05"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","MPhaseSAT64",0.16,2087.14998951049,2176.8471742678,0.16,0.05,1,"Inf"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","minisathackcontrasat_2011.03.02",0.42,2114.71257575758,2265.11309748959,0.48,0.05,2,"Inf"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","minisathackMiniSAT_2.2.0.agile.26",0.43,2202.35725874126,2245.64402567248,0.5,0.05,3,"Inf"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","RestartSAT_B95",0.07,2264.36945104895,2184.60507701619,0.07,0.05,4,"Inf"
"hwmcc10-timeframe-expansion-k50-nusmvreactorp4-tseitin.cnf","minisathackcir_minisat_2011.05.13_simp_",0.05,2531.87662937063,2223.76096860779,0.05,0.05,5,"Inf"
