"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/ablmulub16x4o.cnf","MapleGlucose",190.801,2749.89347581699,2007.33238049588,191.78,190.801,0,0,0,5,"pred"
"sat/ablmulub16x4o.cnf","MapleCOMSPS_LRB_DRUP",362.05,3220.44587973856,1707.48368334037,358.49,190.801,0,0,0,5,"pred"
"sat/ablmulub16x4o.cnf","COMiniSatPSChandrasekharDRUP",310.714,3320.45973937908,1560.07186108022,314.67,190.801,0,0,0,5,"pred"
"sat/ablmulub16x4o.cnf","MapleCOMSPS_DRUP",193.413,3494.86722401961,1901.69452113519,195.47,190.801,0,0,0,5,"pred"
"sat/ablmulub16x4o.cnf","Lingelingbbcmain",417.255,3547.20598006536,1748.0386919676,421.62,190.801,0,0,0,5,"pred"
"sat/ablmulub16x4o.cnf","gulch",347.766,3585.03691045751,1454.02079167358,368.81,190.801,0,0,0,5,"pred"
"sat/ablmulub16x4o.cnf","tc_glucose",291.579,3586.65507843137,1605.04232006665,296.95,190.801,0,0,0,5,"pred"
"sat/ablmulub16x4o.cnf","BeansAndEggs",383.658,3613.50773562092,1473.17159143973,399.68,190.801,0,0,0,5,"pred"
"sat/ablmulub16x4o.cnf","MapleCOMSPS_CHB_DRUP",457.145,3656.67530718954,1670.94213936833,455.82,190.801,0,0,0,5,"pred"
"sat/ablmulub16x4o.cnf","abcdSAT_drup",245.156,3732.69894640523,1743.5978859379,247.97,190.801,0,0,0,5,"pred"
