"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/q_query_3_L200_coli.sat.cnf","MapleCOMSPS_LRB_DRUP",188.034,2232.16120669935,1972.25653871952,222.68,45.198,0,0,0,5,"pred"
"sat/q_query_3_L200_coli.sat.cnf","gulch",110.805,2253.94279052288,1976.57127340006,119.26,45.198,0,0,0,5,"pred"
"sat/q_query_3_L200_coli.sat.cnf","tc_glucose",62.875,2375.09661666667,1978.84401724219,67.86,45.198,0,0,0,5,"pred"
"sat/q_query_3_L200_coli.sat.cnf","glucose",78.276,2376.49265915033,2040.79304731792,86.58,45.198,0,0,0,5,"pred"
"sat/q_query_3_L200_coli.sat.cnf","glucose_hack_kiel_newScript",45.198,2393.81815424837,1999.8824075921,48.16,45.198,0,0,0,5,"pred"
"sat/q_query_3_L200_coli.sat.cnf","Glucose_nbSat",92.641,2497.84574019608,2083.63279342959,96.67,45.198,0,0,0,5,"pred"
"sat/q_query_3_L200_coli.sat.cnf","MapleCOMSPS_CHB_DRUP",79.262,2568.0201629085,2092.44944295437,89.26,45.198,0,0,0,5,"pred"
"sat/q_query_3_L200_coli.sat.cnf","glueminisat.2210.81.main",88.272,2620.68361176471,1981.60934159634,98.69,45.198,0,0,0,5,"pred"
"sat/q_query_3_L200_coli.sat.cnf","COMiniSatPSChandrasekharDRUP",85.31,2634.71123022876,2088.53733799878,93.51,45.198,0,0,0,5,"pred"
"sat/q_query_3_L200_coli.sat.cnf","BeansAndEggs",116.263,2674.00198921569,2056.9419120904,132.44,45.198,0,0,0,5,"pred"
