"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/E02F22.cnf","BeansAndEggs",189.215,1330.44138543417,1359.87806275241,211.17,116.606,0,0,0,5,"pred"
"sat/E02F22.cnf","CHBR_glucose_tuned",291.912,1613.83452380952,1543.02530726436,414.33,116.606,0,0,0,5,"pred"
"sat/E02F22.cnf","abcdSAT_drup",465.816,1863.74401204482,1556.65203718589,556.21,116.606,0,0,0,5,"pred"
"sat/E02F22.cnf","gulch",471.786,1904.51478767507,1797.66075696029,567.95,116.606,0,0,0,5,"pred"
"sat/E02F22.cnf","CHBR_glucose",253.778,1927.16049747899,1749.9754996665,361.08,116.606,0,0,0,5,"pred"
"sat/E02F22.cnf","Lingelingbbcmain",664.381,2233.99342927171,1813.88858233554,738.43,116.606,0,0,0,5,"pred"
"sat/E02F22.cnf","tc_glucose",389.76,2280.00284985994,1481.87479583549,453.37,116.606,0,0,0,5,"pred"
"sat/E02F22.cnf","glucose_hack_kiel_newScript",209.246,2309.48595462185,1657.87012175363,313.43,116.606,0,0,0,5,"pred"
"sat/E02F22.cnf","MapleCOMSPS_LRB_DRUP",235.9,2338.51774663866,1822.98409917585,260.75,116.606,0,0,0,5,"pred"
"sat/E02F22.cnf","MapleGlucose",2513.713,2357.98707044818,1623.68901801863,2600.49,116.606,0,0,0,5,"pred"
