"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","GHackCOMSPS_DRUP",5.682,194.073629641351,713.858482580826,6.38,4.574,0,0,0,5,"pred"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","BeansAndEggs",7.08,219.266184177215,753.41160985657,8.03,4.574,0,0,0,5,"pred"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","COMiniSatPSChandrasekharDRUP",6.565,276.412070042194,883.906310037099,6.93,4.574,0,0,0,5,"pred"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","glucose",7.485,283.629073945148,914.116558026938,8.56,4.574,0,0,0,5,"pred"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","tc_glucose",6.527,321.487377531646,991.570735187741,6.88,4.574,0,0,0,5,"pred"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","glue_alt",4.574,332.787100210971,1038.22353350585,5.11,4.574,0,0,0,5,"pred"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","cmsat5_autotune2",10.6,334.003662974683,1053.69030488776,11.16,4.574,0,0,0,5,"pred"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","Glucose_nbSat",6.798,342.848149683544,1054.30060650957,7.73,4.574,0,0,0,5,"pred"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","Splatz06vmain",15.926,352.266628164557,1115.24876869493,17.22,4.574,0,0,0,5,"pred"
"sat/safe029_power.opt_false-unreach-call.i-cbmc-u2.cnf","MapleCMS",12.327,362.387191244726,1051.88369173998,12.38,4.574,0,0,0,5,"pred"
