"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/UTI-20-10p1.cnf","COMiniSatPSChandrasekharDRUP",319.781,1187.53624250493,1794.13890520372,331.46,319.781,0,0,0,5,"pred"
"sat/UTI-20-10p1.cnf","MapleCOMSPS_CHB_DRUP",774.219,1365.1212995069,1977.48043476306,889.23,319.781,0,0,0,5,"pred"
"sat/UTI-20-10p1.cnf","tb_glucose",1052.667,1375.35814418146,1893.33054921172,1168.04,319.781,0,0,0,5,"pred"
"sat/UTI-20-10p1.cnf","CHBR_glucose_tuned",599.162,1390.95632051282,1792.55200195072,636.02,319.781,0,0,0,5,"pred"
"sat/UTI-20-10p1.cnf","MapleCOMSPS_LRB_DRUP",597.825,1421.79003589744,1908.32044427769,660.41,319.781,0,0,0,5,"pred"
"sat/UTI-20-10p1.cnf","tc_glucose",1107.63,1478.63222159763,2003.75889399311,1296.52,319.781,0,0,0,5,"pred"
"sat/UTI-20-10p1.cnf","cmsat5_main2",851.9,1478.85596656805,1863.50603247186,937.13,319.781,0,0,0,5,"pred"
"sat/UTI-20-10p1.cnf","glucose",906.792,1486.67368836292,1889.14959294296,1029.93,319.781,0,0,0,5,"pred"
"sat/UTI-20-10p1.cnf","glucose_hack_kiel_newScript",664.966,1487.47140788955,1962.88660865773,749.46,319.781,0,0,0,5,"pred"
"sat/UTI-20-10p1.cnf","Glucose_nbSat",957.572,1541.08310641026,1939.87517760696,1059.36,319.781,0,0,0,5,"pred"
