"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","delta","delta_prime","alpha","method_number","orderBy"
"sat/snw_16_8_preOpt_pre.cnf","Glucose_nbSat",168.493,996.394685062894,1426.269357374,236.78,143.807,0,0,0,5,"pred"
"sat/snw_16_8_preOpt_pre.cnf","gulch",153.669,1021.42096965409,1225.13631897653,219.91,143.807,0,0,0,5,"pred"
"sat/snw_16_8_preOpt_pre.cnf","MapleCOMSPS_DRUP",217.327,1027.53048506289,1341.06146818332,299.01,143.807,0,0,0,5,"pred"
"sat/snw_16_8_preOpt_pre.cnf","cmsat5_autotune2",296.928,1034.12569433962,1220.75417170913,351.01,143.807,0,0,0,5,"pred"
"sat/snw_16_8_preOpt_pre.cnf","glucose_hack_kiel_newScript",151.613,1051.28438883648,1540.83373482386,210.14,143.807,0,0,0,5,"pred"
"sat/snw_16_8_preOpt_pre.cnf","MapleCMS",408.814,1068.69042185535,1298.71441502508,519.51,143.807,0,0,0,5,"pred"
"sat/snw_16_8_preOpt_pre.cnf","MapleCOMSPS_CHB_DRUP",153.44,1126.76656226415,1583.4649021287,217.14,143.807,0,0,0,5,"pred"
"sat/snw_16_8_preOpt_pre.cnf","CHBR_glucose_tuned",143.807,1142.99882232704,1501.99877850017,209.98,143.807,0,0,0,5,"pred"
"sat/snw_16_8_preOpt_pre.cnf","glucose",145.248,1161.32510251572,1470.56427542656,205.51,143.807,0,0,0,5,"pred"
"sat/snw_16_8_preOpt_pre.cnf","YALSAT03r",5000,5000,0,5000,143.807,0,0,0,5,"pred"
